,ACH-000570,ACH-000075,ACH-000376,ACH-000269,ACH-001611,ACH-000098,ACH-000887,ACH-000368,ACH-000760,ACH-001610,ACH-002680,ACH-000231,ACH-003438,ACH-000738,ACH-002681,ACH-000819,ACH-000571,ACH-000102,ACH-000634,ACH-000137,ACH-000445,ACH-001609,ACH-001329,ACH-000027,ACH-000370,ACH-000289,ACH-000543,ACH-001623,ACH-001624,ACH-000244,ACH-000215,ACH-001608,ACH-000464,ACH-000622,ACH-000558,ACH-000631,ACH-000479,ACH-000863,ACH-000283,ACH-000623,ACH-000609,ACH-000504,ACH-001605,ACH-000152,ACH-000328,ACH-000595,ACH-000469,ACH-002409,ACH-001622,ACH-000455,ACH-000036,ACH-000673,ACH-000200,ACH-000323
LY96,4.47533136554104,6.219458966735173,4.513831797795479,4.249976203724164,5.296270175255194,5.385865851029062,0.1819828510099225,4.729906195602141,1.6542292958725198,4.550685229081622,4.795881212017738,3.7511208957517463,4.65906256458043,3.257519093682692,3.6052809717834817,2.692429429980062,3.782827892074894,5.550737552105435,5.093961526225717,4.6054054368251185,3.786104925540577,4.352207665124362,5.408110612826983,4.753224773416427,3.768226678505048,1.7826098571688302,5.341014375548941,5.208107522431237,7.675738319316251,5.456030722230856,5.140868616954386,2.988422933156143,5.208052881987965,4.218540956883748,4.09545188108566,3.7208037820400377,4.451455112758605,5.0573766192056695,4.508530068653715,5.886823248324015,3.5406348790546915,5.022252392808313,4.5590757088326495,3.024656552420657,4.882662611195875,0.2505517414418548,4.413885137351402,4.283781050836095,4.595163474727567,2.4886229756799154,5.069981365367536,4.223221732580819,4.884231584272817,4.638467772399966
BCL3,5.613375470368745,4.774217774458395,5.420802381631812,2.2184154114030523,4.9880938560259125,4.725583029334369,3.1604813769864815,5.018309246330885,5.002130909119983,5.171338950964834,4.447962630065345,4.9780766207406595,4.733587539384954,3.819974672547827,3.4990549777973428,6.065178066987334,5.470764606820394,4.8315428700281435,4.3013608359443385,4.397905616775728,4.543106080394363,5.206709637683523,4.366692895528404,5.070123091742262,3.8227505392497534,4.799258305050016,6.137942003613261,2.699775925738323,5.209675601531031,4.000306540127454,4.984580236656848,4.6875030619243905,3.899001568300037,6.521829682435776,3.772666914724703,4.884329283159941,4.080350674293978,3.897443744105432,1.795862514853047,4.550783717903555,5.3199394124488295,5.966368169444331,4.943822893709381,3.454175893185802,5.314352122669661,4.7358145858455005,6.235616020118625,4.116256617055899,4.4633020257974385,4.895302621333307,5.2332285143826835,4.074959204246753,4.305737103511744,4.932278542191423
TNFAIP8,2.4416401702769024,4.086163831071236,3.389102817090901,4.393491710702546,3.951615768206447,4.510234060570814,2.7968240658298074,2.984509147777147,3.029777963535279,3.6645055956275105,4.187981475540541,3.9836047373519294,4.398979633432858,3.1172944231055313,4.817505586095899,3.524765790386698,4.123210937461566,3.279582725046649,3.0197606172388,4.663094090188498,4.566328086132912,4.942411284440563,3.699884728697475,2.5366298628717305,3.925610218058556,1.585765377513937,2.9857572508799506,4.365552571634397,3.545511278581884,4.636856593055446,3.0807224637948165,4.168449492233925,3.039312138686586,1.193109370690576,3.712562766452798,4.452397755599467,2.9901035099120863,2.898873909352568,3.145890990861302,2.8835211144028627,3.938088148888896,3.7001622501066014,3.538153228061524,4.158765182922034,3.5087835777725886,4.116572694750242,4.835312718898777,3.31183003892385,4.1041185615216405,3.3932171090979386,3.598853485438396,2.9645409538416923,3.937052433457152,3.506970007400658
IER3,5.073168988800816,6.742504814126115,1.2575115508457406,0.6026212561429019,2.8627727259003355,5.010770889004386,6.784556329405176,2.730983336241448,0.580473551677282,5.9045346756389785,2.6827755301410625,6.18059545056845,4.090167479268389,1.652279971105086,6.285648195892287,2.404843190215079,5.6379956166544325,4.625247106769633,5.881378303055353,5.612526484596761,7.960980778488727,7.729144864591712,2.3107821691045807,5.114687680764232,0.4648323903642995,0.4991555238714368,4.889566020018457,5.136790197040695,1.2468519251335612,0.9436978274374814,0.6724162897389182,6.33246627093191,1.2276979545060298,0.7956073782162567,6.288506220454972,4.047739039939615,0.3432520312495532,0.9165928197050084,6.2390504635695345,0.7348253563010632,5.949327151293472,3.2501141960195032,3.965174761536467,9.198167526184726,0.6614057560385551,4.468303091569609,4.9109772470436726,4.30525556067116,2.1181138288285113,6.83814500331236,8.01991314439894,1.325277028207414,0.4337628181030061,0.8083570408873236
PRSS23,4.637320426211679,6.587513513666597,6.714355433101084,8.970916908874733,9.103723174308811,8.684443571238965,8.169824810807814,8.225525590240164,7.1399912561527525,6.5515652345297655,8.604512458700905,8.137114107480079,7.490241186716891,8.547889344901362,8.24822646203247,8.8762222383301,8.811365059454129,7.474290014096729,8.204742301304261,5.287161972972836,8.207800143015392,8.27220519461734,7.509474164119989,7.7528823662730915,7.100841022407148,9.952135508397896,8.205983804488952,8.82302643076723,6.258449200303745,9.268193418976336,8.548051238012599,8.44184447336366,6.371090084809997,8.242550109159192,7.46840410933844,8.751376683366317,10.080164636989396,8.428950530856262,9.110157018954066,9.318719040462833,8.448273268700245,10.165949613279452,7.746259013745973,7.499375539661021,7.910210981537966,7.694364852539778,7.74746125128744,5.3649540656972,9.220071132761843,6.351898597111206,9.023718320120263,4.18590617924606,7.985489045355916,10.050909764836064
IL7R,2.076565935774661,4.19713411058744,5.4871197121029285,4.312766809121658,6.514625694990029,4.439649730768994,1.6133147608900755,5.973597500516973,6.639317552984871,3.129071955832424,4.118750084623639,7.262508327361253,8.31589223444723,7.174586184901538,2.7684447805163512,6.519250958580907,4.613779152894915,4.261906859828068,6.450736180900234,2.0388154187216188,5.324886191749297,3.4633739654948177,5.6472223951912826,5.261286333690922,4.551743631725084,4.878573315978051,3.402918596989287,5.328761082592964,3.6619205791350864,4.231317197152663,7.319103058573165,6.049075275476362,3.5723197519429277,0.7315664608595014,7.232708717929253,0.7302338792870745,6.039256858526342,4.437800334710204,5.876860696767835,5.505547994906828,6.565729680821159,6.018460591675081,3.844546345255008,5.692276537507803,6.2331498856134475,3.714652162953197,2.8278840460271417,0.2924696222530286,4.4136685439140315,3.042772143322496,3.7238206472862343,2.4781382946988586,2.703862610011117,6.728478370224921
RAB27A,3.956028764996463,5.725893814568841,4.4346015417013,4.115782370634672,5.435795254370059,4.1962608060966735,3.509822499678158,5.232572504128423,4.916476644437717,5.362904665683253,5.159935903503213,5.272045590984029,6.836290258136939,4.467357743890879,4.829367566438059,4.462333760883321,4.460932551988633,5.533407608478743,4.471753239732181,4.844892777030929,4.985873806837636,4.359190819538742,5.075977521888366,3.876438363588578,5.065395668862117,3.4554850449751924,4.141367390759703,4.962303771683454,3.928502978532914,3.9604375717783062,4.903958948045462,4.5484674511838135,4.84931376646821,5.013020003763712,4.468765760127853,4.592062297787477,4.323744746388629,4.407461527061142,4.84040784137352,4.642892147461418,6.111060533346537,5.736821317448161,4.21312950000748,4.990805138991977,5.011016986870223,4.702884677955197,4.30796761351548,5.316829991054228,5.081339627451939,3.180451839229836,4.8823789386384,4.670562780694204,4.988257494920665,4.840171140384836
RUNX1,5.304558498103139,4.869619751374466,4.432571964921001,4.881943539497963,4.463400124495397,5.0042361996155185,3.4401974419038037,5.342704070339183,3.652945330905459,2.16955947239632,5.343514421441309,4.984270336405532,4.677305269716603,5.523082023321913,3.856507699206843,3.5677644636663652,3.5066654084096047,4.163828775424899,5.41071760540099,4.412964390584839,4.55503693841664,3.451128010204624,4.645113671667921,3.7709453024870534,3.966670404307121,4.2399020718538685,3.2858164718046203,4.5974715821202405,3.9814508341617008,5.4553765423688345,3.590542140421003,2.744174015169644,4.487055380170907,4.2539817049162085,5.660129990854022,3.448771472703236,3.9953669276556583,5.454570737426981,5.341523270853157,4.759794995757513,4.79480053374097,5.6258607745925175,4.750429640590908,4.4134925377995335,3.913291558606326,5.204903659360054,4.681629169301336,4.571767809731749,2.0951514008571097,3.9229399412331074,4.122830065041218,4.58467393285523,6.299189698333934,5.089417641056952
P4HA2,6.071104057736521,7.7003148641293695,6.94626298433245,4.068215060276611,7.46652108360563,6.609311733347089,4.223909029936635,8.021513040488909,5.382470130895973,7.757676686309021,7.747776756603238,6.480378232150857,7.660331115122158,5.029925461071654,8.428025110276753,6.530117574103495,6.667068952662904,6.64498249483676,7.595197795351695,6.296213266561753,8.212603382628224,7.640360636448235,6.962155675275497,4.9510328771260745,4.183200646725427,8.327103486219304,8.509929358501813,6.0528418923464224,5.6822024635830255,7.777511771514861,6.881126199817589,6.6201670296022215,7.210077098903208,2.429712363805074,6.281761297090602,6.054865837842317,5.480992103697908,6.730123644974731,6.116913648299397,6.557909365211553,6.920829208563456,7.27435485560099,7.337006339728337,6.820102357104893,6.920900647971939,6.525498884661915,7.443672950275786,5.526381862561924,8.37042586738464,5.229803234291069,7.5038495839977,5.785759774427011,5.992285790304438,7.924646257562019
CYP1B1,4.06582215950031,6.186179623723642,2.689225346343188,0.0832092827351163,1.6307036721946062,2.9952656106088766,4.611054315062484,5.8758414844040825,6.452186868029962,2.839082823441651,5.657477092647551,3.6483043676036986,4.80241038049522,1.106602929696055,5.39840509977223,5.09950561709114,3.9498803914363463,4.533937055000927,0.4206613299318222,5.492026209348008,5.119538785107876,3.9291755437728417,3.7405066679147714,4.358459561344929,1.2335383850744746,2.039854298461985,6.801288016778913,3.7162336922484314,0.0,0.7373250689816937,2.9563745308587728,6.4626102406310535,1.2195062071333052,3.4593791560455753,0.853661174536361,1.4763816875672346,1.6312626324530053,0.2822725435116869,0.6869226848226644,1.492078780300808,0.8224666663604757,5.316659864269546,4.593622682440612,3.3701447468194083,1.3236525271512036,1.234433874678636,7.834534255392258,5.833069707092701,3.723187191714745,6.076663838924296,4.909739508057565,1.4147958276189283,3.6860410326836943,3.808755716964189
