,ACH-000570,ACH-000075,ACH-000376,ACH-000269,ACH-001611,ACH-000098,ACH-000887,ACH-000368,ACH-000760,ACH-001610,ACH-002680,ACH-000231,ACH-003438,ACH-000738,ACH-002681,ACH-000819,ACH-000571,ACH-000102,ACH-000634,ACH-000137,ACH-000445,ACH-001609,ACH-001329,ACH-000027,ACH-000370,ACH-000289,ACH-000543,ACH-001623,ACH-001624,ACH-000244,ACH-000215,ACH-001608,ACH-000464,ACH-000622,ACH-000558,ACH-000631,ACH-000479,ACH-000863,ACH-000283,ACH-000623,ACH-000609,ACH-000504,ACH-001605,ACH-000152,ACH-000328,ACH-000595,ACH-000469,ACH-002409,ACH-001622,ACH-000455,ACH-000036,ACH-000673,ACH-000200,ACH-000323
ENPP4,0.943370016105378,3.115118163631408,0.0701309936515594,0.0898438680930848,0.0116001159455838,3.0464875678270835,3.6913219882821697,0.2903819363379968,4.972582380105268,4.082523773976976,3.499029457374196,2.5994534863552405,3.853945760593256,0.0650428356630934,1.6330172916484529,0.2017041124351029,0.0353663128884822,4.24845134442646,1.9266826386151916,4.247881953933456,4.070569653501393,1.603696364064334,2.9010464394935327,2.935305097695328,4.511183368624602,0.208614643116044,3.2312019766560383,2.123580122130643,0.0,2.8838299723558554,0.0,1.155120992593467,0.0256992968923142,5.780564700701216,0.0712423267393496,0.0278419638103665,4.242442451642347,2.863577731572014,2.7753666562361223,4.096422106118512,0.0464309903046411,3.41128929167062,3.5989844593087374,2.860025188279138,4.2918613695852175,1.6666611663798034,1.3712354396477582,1.6125412281954388,0.0190513987456865,2.4250376066522983,0.5936998806482051,0.0360179579718983,3.8120258065570103,2.427823365165247
SEMA3F,5.409587808145262,0.1537677282574609,1.8356977513986457,1.864215865104355,1.858291389908888,1.1260014845780906,1.5904630963159283,3.084516737318163,0.0601885325387118,1.6704914007286304,3.974180527250166,1.9327301907841816,4.277977310708223,0.4751263987554902,1.521844754652921,2.9125406527724818,2.6642188530831805,5.798449767634596,2.380524442707811,1.8294396220051097,1.5035675400443025,0.1862634696471476,2.4001034162181076,6.414878005034538,5.336208394341419,0.3954829301256034,2.281457904530546,1.4447041672659902,0.0057319670325603,2.743415869571388,1.838967897623927,0.6426590642594553,2.5609936855719373,0.1458391583908074,2.8617509513295736,5.224893071144461,5.619577344041876,0.408712947804945,0.0902111866272066,2.5024120788386495,2.492327504689135,5.37021660170367,2.682031623234386,2.445819384525696,4.483190205146238,0.2578952803561742,2.115439484902362,3.9233869155047145,0.0453954393276117,0.9311270490906804,1.918069417417825,3.932269091965985,0.1852233721753028,0.469150378883263
CFTR,0.069000924798713,0.6961817074501498,3.206099297939951,0.1408728695254589,0.0,0.0732526387579892,0.008549993840232,0.3237170812363489,0.5809925174901166,0.0753751754296857,0.0830553866203374,0.0255249678958883,1.4927966308783218,0.7610614041962442,0.2880289344342079,3.71556395051172,0.1069660064973974,0.170757036208719,0.405644982221519,0.2403912710174644,0.0954761868625088,0.2157332595824998,0.571802994767179,0.2564370480165941,0.0271398934848857,0.0335294266568035,0.5322271777639543,0.7012855552930598,0.0,0.3496211803909793,1.6773233128772738,0.0,0.4788941691302057,0.1668992242545354,0.0286469424791584,0.0289538195876351,0.1941160570571981,0.0820607946955929,0.0,0.6563096432989781,0.1353890825596741,0.7722648961846332,0.5054113063097473,0.0,0.2750881222984342,0.0445549927447851,0.2267341644646198,3.934752370963028,0.0117546709416954,0.4352018558870658,0.9069421469902672,1.2451792209392123,0.3148867458685406,0.0123155092622347
ANKIB1,5.432318066949524,4.692750786149224,5.245929136375135,4.098495355882719,4.412205687060399,5.492135195777735,4.313891581796602,5.448957098897972,5.0681376543993215,4.90338540095093,5.743003245125026,5.078652527454848,4.292376854521855,4.622918640685631,3.9874027315470104,5.3752514745525515,6.439403724853197,4.797132332560533,5.4186689673267585,4.985755429618393,4.883019568083225,4.539568292228293,5.120654682109408,5.21824257475177,5.470312341628257,5.077849692130352,5.39670067226479,5.3784665383292465,6.390217116899914,5.7719489458663515,5.662709671070808,4.281698250098829,5.224267993315415,5.616131228802377,5.1946780702893705,4.80985171419111,5.642721785593317,4.773009935452588,4.8674616136571265,5.347229805868307,5.111436178661517,5.078430511313357,5.211148510820596,5.2402189098395855,5.266351793054972,5.2967510558641955,5.627376291982713,4.610457939261753,3.532853038518327,5.3941471107502315,5.561261974510749,5.8281339447946605,5.544034009761607,5.860121062987512
CYP51A1,5.636639119918435,5.104571498032753,5.702039667253766,4.007025023634629,5.689888979202555,7.087187005536798,6.274563589088214,6.014299494596027,6.227149970322415,6.56183627511923,6.4542153824731106,5.435188518285282,5.388192981982536,5.55792161518802,5.442754440663623,6.556420218469296,5.355643570442846,5.352927978092636,5.873444112515377,5.406199902288092,6.17481585378431,4.471831260852698,7.164565062959291,4.5335135133282085,5.478916813366738,6.6508995183036665,5.981925699290662,7.435986889937693,8.4379060070569,6.387862241129261,6.167082899826932,5.113858826924032,6.073263266069241,6.6142357378514784,5.888317073498531,5.87764365035888,6.0300093601272104,5.688051640719518,6.519967995247731,5.863167849467872,5.853511674517498,6.69891298314366,6.907251224292033,6.682896294540057,6.468216732062436,6.466920718734823,6.365573567334549,5.307716306862026,5.863388417187972,5.47716568878992,5.274705212471313,6.4848841043093985,6.080167302449684,5.878686110626091
KRIT1,5.805336313688879,4.995773933365479,5.214781486324231,4.695320175539714,4.576655154801209,5.269399759916618,4.834104404001504,5.623255272018177,5.38495811466346,5.378400642443576,5.811268073041875,4.813447729828343,4.327169970399985,5.083375077213999,3.6144271659663927,5.904185412251641,6.665449622658193,5.049900812173328,5.692745207659598,4.937363226166211,5.293771422366063,4.427384924700878,5.1275342354766575,5.6089570522182886,5.931914663818619,5.505541643493126,5.161319358158309,5.451966062072557,6.18866005152024,5.848945867687028,6.103019179818571,5.161254853320659,5.610319143195203,6.019939823877768,4.617704007481804,5.319151844144317,5.772062472076724,4.730634522026931,4.937203129192643,5.1476648855862495,4.813098795400726,5.162677321623898,5.207092433530335,4.8246202162450675,5.602866597558585,5.951308031062049,6.364684481928228,5.339921245325117,4.082089415824856,5.431268593502652,5.522457558115208,6.488024879841194,5.477211031198532,5.895072334088987
RAD52,3.657525682529299,3.2481568078013843,2.8792156371656703,4.03082160392815,2.270403355170175,3.3806643484682337,4.218006150284427,3.0016707550717463,3.420695280598307,2.9009015771158984,2.9037979922973713,2.3104826378810777,2.8106014522726093,3.947011512809396,0.966522755490618,3.7552508018342463,3.284278698895886,3.1699474431906243,3.619894219974931,3.1858919111549913,2.9045939215907657,3.4127490135346035,3.296015353692075,4.249976203724164,3.2479259948164274,3.415427425083549,3.0557232037004978,2.6366385399462415,1.7848222201735051,3.358068467364178,3.401792910798042,2.7043253184592,4.0028465126988175,3.302795726964463,2.8121079774574236,3.45466943160474,3.352437921904296,2.8597410040456275,3.791439025872442,3.638409847495782,2.5274857638573685,2.834899275650828,1.940084039862035,2.605944661290708,3.160670146689474,3.3327236850637485,4.341772315015653,3.1305042565105383,2.5668248936913765,4.0551609402768225,2.391316807296946,3.9873026729388705,3.0240252939795926,2.8130279719348734
BAD,5.969795167094557,6.172067415034206,6.219420243943725,5.896581864128,7.342981346941437,6.48017624361424,5.237357210927831,5.851224329629626,5.709538784399409,6.5458247718062905,4.897206536367085,5.540216399736232,5.434428071088081,5.460621351348739,6.078108100126293,6.133059990571803,6.215626183430202,5.707044327910258,6.9672608485122245,6.318380116045675,6.10531140776624,6.712361915042713,6.373119195768227,6.5893964757248,6.311361425627436,5.225764641095214,5.999113822964556,6.937332620765387,6.995823670634166,6.094426107905126,6.060103602705041,6.6250410311753765,5.667196717127649,7.024807233400572,7.270351397740267,6.224169576759895,6.568702510230888,7.14951342462085,6.064236183444716,6.351259057631803,6.063300156921918,5.951711339869159,6.364143411855776,5.493791416971984,6.170415834999696,6.338463637298949,6.399516342077614,4.889293437779017,6.230227995880735,5.642424325972238,6.274776018949737,6.3097291728044205,6.662846365159479,5.8309955499976365
LAP3,5.482661159322764,6.427631312462506,6.047169728544708,5.914691279923268,6.274973513392762,6.634520667230891,4.944010379054418,5.724685738459516,6.424139408660085,5.295451208118,5.818934899658141,6.663259216579421,6.212843611592378,5.556368101140254,4.664425950637319,6.2196545009563025,6.029450677127838,6.481103541831975,5.883073348451263,6.934693407233955,6.113629662699242,5.31695666818183,5.846385498437861,6.1782365846048055,7.005961325845812,4.877479240807254,5.372739716456019,7.037931255400462,4.923020787263877,5.52823373374354,6.262722539606428,5.2913272802302815,5.188859804624911,5.183534153575125,5.37745349014677,5.518915904829971,6.261874899849757,6.448689551768841,5.49375299624648,6.414791769353659,5.79759409044211,6.904170958151615,6.056860943046751,5.560662992064779,6.882863104703267,5.682682843629645,4.978062888308031,5.403816469338946,4.357953088456966,5.141878250707028,5.979824150025785,5.471402092465469,5.8643867458116254,5.863628772821544
CD99,7.641307583220063,7.640830573222938,7.8079280218673635,7.318316841334983,7.227490800134993,7.622981582078752,6.619120979097477,8.67068811196994,7.915072677850634,8.382170073576937,8.706627244675875,9.063478674280264,7.342830273349224,7.373343703040469,10.053138495372618,8.216270539183817,8.446864118348127,8.887982133058454,9.234915602875295,6.535804138270305,7.419024755534971,9.226857697589272,9.231626806648164,8.943965267619228,8.838040973603096,8.9931138840572,9.11160779514868,7.905844262362224,9.24526033480349,9.449229136844714,8.231278791342897,8.136345214141478,7.978218514891015,8.303931401501828,9.588463547323975,7.373265390518062,8.95171600173954,9.15487885282765,8.128071675205033,9.992031942738496,8.761079121344197,8.9081103593782,9.30296786187662,7.894544959042694,8.898214400010467,8.033445027247803,7.724541137874533,6.595006783244895,9.555154691546171,7.875018221177204,10.041535956098734,7.753658015976807,7.608979222343621,7.022301225566845
