"symbol","entrez","mapped"
"ARID4A","5926",TRUE
"EIPR1","7260",TRUE
"PNPLA6","10908",TRUE
"IFT88","8100",TRUE
"ALG1","56052",TRUE
"ZCCHC8","55596",TRUE
"ABCF2","10061",TRUE
"CHPF2","54480",TRUE
"LRRC7","57554",TRUE
"FUT8","2530",TRUE
"UBA6","55236",TRUE
"GAB2","9846",TRUE
"ATP6V0A1","535",TRUE
"PIAS1","8554",TRUE
"SLC4A7","9497",TRUE
"APBA2","321",TRUE
"MAP2K3","5606",TRUE
"CLXN","79645",TRUE
"TMSB10","9168",TRUE
"ASTE1","28990",TRUE
"RNF19A","25897",TRUE
"PEX3","8504",TRUE
"GABARAPL2","11345",TRUE
"SH3YL1","26751",TRUE
"FAM136A","84908",TRUE
"VCL","7414",TRUE
"DEPDC1B","55789",TRUE
"DAPK2","23604",TRUE
"NSMAF","8439",TRUE
"ADSS2","159",TRUE
"STAP1","26228",TRUE
"TIMP2","7077",TRUE
"RFC1","5981",TRUE
"TBC1D23","55773",TRUE
"CUL3","8452",TRUE
"MYOM2","9172",TRUE
"CYP46A1","10858",TRUE
"ZZZ3","26009",TRUE
"SLC18A1","6570",TRUE
"USP2","9099",TRUE
"TUBG2","27175",TRUE
"RPL26L1","51121",TRUE
"FLT4","2324",TRUE
"NSUN2","54888",TRUE
"FBXO42","54455",TRUE
"MFAP3","4238",TRUE
"MRI1","84245",TRUE
"METTL1","4234",TRUE
"HOXC8","3224",TRUE
"AGA","175",TRUE
"PI4K2B","55300",TRUE
"BOD1L1","259282",TRUE
"MAT2B","27430",TRUE
"TLL1","7092",TRUE
"EDC4","23644",TRUE
"TRIO","7204",TRUE
"VCAN","1462",TRUE
"CLEC16A","23274",TRUE
"MSR1","4481",TRUE
"CDH1","999",TRUE
"MTREX","23517",TRUE
"DNAH5","1767",TRUE
"ZFYVE16","9765",TRUE
"RIPOR1","79567",TRUE
"RAI14","26064",TRUE
"SOX30","11063",TRUE
"PNKP","11284",TRUE
"BEST2","54831",TRUE
"PHLPP2","23035",TRUE
"SPDL1","54908",TRUE
"STAU2","27067",TRUE
"SLC66A1","54896",TRUE
"CTNS","1497",TRUE
"RTN4R","65078",TRUE
"PHF23","79142",TRUE
"CDH10","1008",TRUE
"INPP4A","3631",TRUE
"RAB27B","5874",TRUE
"PSMA4","5685",TRUE
"MYO16","23026",TRUE
"LSG1","55341",TRUE
"PARP3","10039",TRUE
"TNC","3371",TRUE
"THAP3","90326",TRUE
"RIPOR3","140876",TRUE
"TDP1","55775",TRUE
"AIFM2","84883",TRUE
"SPATA7","55812",TRUE
"MED17","9440",TRUE
"RETSAT","54884",TRUE
"CAPG","822",TRUE
"AP2S1","1175",TRUE
"TG","7038",TRUE
"ADAM28","10863",TRUE
"BARX2","8538",TRUE
"DCUN1D1","54165",TRUE
"JADE2","23338",TRUE
"ZIC2","7546",TRUE
"TRIT1","54802",TRUE
"ADRB1","153",TRUE
"CUL7","9820",TRUE
"CTNNA1","1495",TRUE
"PHKA2","5256",TRUE
"CNTLN","54875",TRUE
"EPHA3","2042",TRUE
"HSPA5","3309",TRUE
"DSG2","1829",TRUE
"GEMIN8","54960",TRUE
"OFD1","8481",TRUE
"GPM6B","2824",TRUE
"MAGEC2","51438",TRUE
"PREX2","80243",TRUE
"WDR37","22884",TRUE
"YTHDC2","64848",TRUE
"CTPS2","56474",TRUE
"ATP6V1H","51606",TRUE
"POLR2B","5431",TRUE
"ATOSA","56204",TRUE
"ARAP2","116984",TRUE
"TPR","7175",TRUE
"CP","1356",TRUE
"KATNIP","23247",TRUE
"DTNBP1","84062",TRUE
"XK","7504",TRUE
"ANO2","57101",TRUE
"FERRY3","57102",TRUE
"SCML1","6322",TRUE
"WWC3","55841",TRUE
"ARHGAP6","395",TRUE
"FAM184B","27146",TRUE
"MAP4","4134",TRUE
"GOPC","57120",TRUE
"ROS1","6098",TRUE
"USP28","57646",TRUE
"HDAC9","9734",TRUE
"TSPAN17","26262",TRUE
"NOP16","51491",TRUE
"CC2D2A","57545",TRUE
"RRM2B","50484",TRUE
"ZNF800","168850",TRUE
"TNFRSF17","608",TRUE
"SNX29","92017",TRUE
"LMO3","55885",TRUE
"MRPS10","55173",TRUE
"RSF1","51773",TRUE
"VPS13D","55187",TRUE
"CELF2","10659",TRUE
"FAM120A","23196",TRUE
"R3HDM1","23518",TRUE
"COL9A2","1298",TRUE
"KITLG","4254",TRUE
"ERCC8","1161",TRUE
"ADAMTS6","11174",TRUE
"H6PD","9563",TRUE
"VAMP3","9341",TRUE
"PER3","8863",TRUE
"UTS2","10911",TRUE
"TNFRSF9","3604",TRUE
"EPN3","55040",TRUE
"LTBP1","4052",TRUE
"RCN1","5954",TRUE
"ELN","2006",TRUE
"RFC2","5982",TRUE
"ARID1B","57492",TRUE
"CLPTM1L","81037",TRUE
"NEDD4L","23327",TRUE
"FOXP3","50943",TRUE
"PPP1R3F","89801",TRUE
"HEXB","3074",TRUE
"PTCD2","79810",TRUE
"NEXMIF","340533",TRUE
"JKAMP","51528",TRUE
"DKK3","27122",TRUE
"ARHGEF5","7984",TRUE
"NFE2L3","9603",TRUE
"MCUR1","63933",TRUE
"LIMA1","51474",TRUE
"LETMD1","25875",TRUE
"SLC4A8","9498",TRUE
"LAMC3","10319",TRUE
"PTGER3","5733",TRUE
"TNIP3","79931",TRUE
"MAPK9","5601",TRUE
"COL23A1","91522",TRUE
"BCAR1","9564",TRUE
"FHIP1B","84067",TRUE
"HERPUD1","9709",TRUE
"HOMER3","9454",TRUE
"RAD51","5888",TRUE
"POLQ","10721",TRUE
"PIK3CB","5291",TRUE
"CYBA","1535",TRUE
"THOC3","84321",TRUE
"HEBP2","23593",TRUE
"MPHOSPH9","10198",TRUE
"PLEKHA5","54477",TRUE
"PRSS8","5652",TRUE
"SIKE1","80143",TRUE
"RRP12","23223",TRUE
"FNIP2","57600",TRUE
"MSMO1","6307",TRUE
"TTC17","55761",TRUE
"ALX4","60529",TRUE
"FSTL4","23105",TRUE
"FOXN3","1112",TRUE
"METTL24","728464",TRUE
"AKR7A2","8574",TRUE
"MRTO4","51154",TRUE
"NNAT","4826",TRUE
"USE1","55850",TRUE
"MCF2L2","23101",TRUE
"NRIP2","83714",TRUE
"LAMA3","3909",TRUE
"AP5M1","55745",TRUE
"ANAPC4","29945",TRUE
"KCNQ1","3784",TRUE
"TRAPPC3","27095",TRUE
"THRAP3","9967",TRUE
"PHPT1","29085",TRUE
"ENTPD2","954",TRUE
"LY75","4065",TRUE
"ARID4B","51742",TRUE
"OPN3","23596",TRUE
"SDCCAG8","10806",TRUE
"PTPRN","5798",TRUE
"HHAT","55733",TRUE
"KIF1B","23095",TRUE
"FOXC1","2296",TRUE
"TBC1D22A","25771",TRUE
"SYNE2","23224",TRUE
"PLEKHH1","57475",TRUE
"ATP9A","10079",TRUE
"CHRDL2","25884",TRUE
"FAM168A","23201",TRUE
"RELT","84957",TRUE
"GALC","2581",TRUE
"NOP58","51602",TRUE
"SZRD1","26099",TRUE
"KCNH2","3757",TRUE
"CUL1","8454",TRUE
"FAM114A2","10827",TRUE
"CYFIP2","26999",TRUE
"TAB2","23118",TRUE
"GINM1","116254",TRUE
"EIF2AK2","5610",TRUE
"USP36","57602",TRUE
"KMT2C","58508",TRUE
"MCOLN3","55283",TRUE
"CCDC85A","114800",TRUE
"PUM2","23369",TRUE
"MRPL43","84545",TRUE
"ITIH4","3700",TRUE
"HPF1","54969",TRUE
"ZFR","51663",TRUE
"ZNF280C","55609",TRUE
"NPFFR2","10886",TRUE
"PHF21B","112885",TRUE
"TRAF1","7185",TRUE
"RC3H2","54542",TRUE
"IL17RB","55540",TRUE
"TRAF3IP2","10758",TRUE
"GYG2","8908",TRUE
"DCBLD2","131566",TRUE
"SERPINB3","6317",TRUE
"SOAT1","6646",TRUE
"PKP2","5318",TRUE
"F7","2155",TRUE
"GDI2","2665",TRUE
"PRDM1","639",TRUE
"ATG5","9474",TRUE
"TMCC3","57458",TRUE
"PITHD1","57095",TRUE
"MTA3","57504",TRUE
"USP13","8975",TRUE
"ATP11B","23200",TRUE
