,arc1,arc2,arc3,arc4,arc5
SP100,2.085658757557154,-0.05853419062752896,3.0800909841113295,4.319498311688301,-0.45080251070906696
SP110,1.4651255585235679,0.9022816012376041,2.2098612045115726,4.713262318713141,-0.13148446727671081
SP140,0.5276714039949071,0.08311267141924578,0.5086151624907987,0.5763467597121371,0.07414439033069328
SP140L,2.2231261559299424,0.0663597442155206,2.828313672929892,3.0072193057779706,0.4014302699741984
SP2,3.744177660985197,3.8845838195044715,3.78888422854424,3.4498400624167,3.571741098117598
SP3,5.380475344910801,5.950711407755787,5.565942806204882,5.641763867353742,5.442439766770487
SP4,3.091374275038269,4.123565348546293,3.8361226702116804,2.926603198615688,3.2652028455310895
SP5,-0.09917641175763137,1.1958455853084338,1.1026071266971382,1.0742194831168559,0.6474018294735984
SP8,-0.3137298080856601,2.881253933559571,2.0802919572977343,0.23232859964778374,1.3129380135019924
SP9,0.42793359175682455,1.4849906864581368,0.5036154406868691,1.018780568788706,1.3358520283035031
SPA17,3.3125344281139233,4.184196224441355,4.573473527964471,4.044799415917082,3.6309028857091064
SPACA4,0.26405691943016,0.16541810553344427,0.6560866859148303,-0.012464142830378305,-0.08893422566066247
SPAG1,1.8072576172030095,2.757063338813636,3.919351786395282,3.7682098928060572,1.0921206107179506
SPAG11A,0.08458873961036553,0.11973177284144822,0.3244786756548987,0.024243553869515794,-0.05015004343903473
SPAG11B,0.0926627329621258,0.10982265671651058,0.6302086978123621,0.010986338798588097,-0.1501152956992269
SPAG16,3.0073165473406873,4.6355279758746875,4.929859524685628,4.024726636731538,4.401988881714844
SPAG17,0.2761824742741379,0.2616853773356788,0.8785618189375868,1.0408060372998413,0.3269940079857324
SPAG4,1.7968039123265536,1.4987015132854284,3.0299943154008124,3.209983345629605,1.988881446095037
SPAG5,6.446520347417624,6.250741132766838,5.804475849806063,6.160178922099516,6.281621342890937
SPAG6,0.34026337409246854,2.544499991228036,2.149008029527005,0.5543625397522449,0.7598177055749259
SPAG7,5.872859978391634,4.85956851051532,4.823468839803267,5.07308596627856,5.736382447979263
SPAG8,0.40549159487399433,0.9494012008012519,1.4137017964297343,0.562523200394286,0.6514376827537005
SPAG9,5.541665640654067,5.521472086253739,5.115663292603568,5.576030550019114,6.1189260696995085
SPARC,2.523167939750598,3.4593519225591964,0.5823242613996573,4.487560635552542,6.240803683169961
SPARCL1,-0.047194932257203615,1.4314008992170546,1.2650444097227105,2.313884037346003,0.7587340986465687
SPAST,3.9151537878128906,4.525594009561976,3.880014034838884,3.785496435345526,4.033472510378282
SPATA12,0.045936636720255684,0.0143883754508033,0.1612664048459712,0.18709445416908344,-0.015929335926448587
SPATA13,3.0732754095797246,2.205307558198542,2.0542362839793658,1.406713117666298,2.643451733445862
SPATA17,1.6770658718379614,2.421792926038568,2.5940315639681444,1.3384157226706397,1.7299451890342379
SPATA18,0.06698091224019542,0.9780029781060162,0.16988794560758896,0.15202850052186923,1.29632321215697
SPATA2,2.480738335814917,2.4473559526898763,2.5354045668153127,2.848354964432611,2.5055636650178377
SPATA20,3.131111516256507,2.1355186001362316,3.821406520040335,6.103188300294529,3.0215571919617528
SPATA21,0.5089564957930575,-0.030497115414433673,0.6245084960435794,0.42368638143474463,0.13597974790572726
SPATA24,2.8605363785226743,2.4739069368833437,2.6261584340455935,3.144761540877561,3.458538294016347
SPATA25,1.3617284018616531,0.8148546419048203,1.2359144492799017,0.9339700284130092,1.0616665148197693
SPATA2L,2.3125176762013524,2.3442574547208355,2.6649789346818777,2.4834281385524237,2.5313657377122185
SPATA4,0.277576796231299,0.48338611568108936,0.46098773966910306,0.18270234440157718,0.13829895476695017
SPATA5,2.7164508905593436,2.321224204346959,2.075808609953168,2.280147308503573,2.131358605681995
SPATA5L1,3.9939107959726377,3.1144728742620504,2.9065803089754376,3.0142447024937518,3.656428939361416
SPATA6,1.4209118058078918,2.875343091981314,3.107282708100286,2.6763633362764176,1.8177788291004924
SPATA7,1.5162549476757676,3.0672996120660074,2.5721665382862544,2.6495070537210643,2.8185379463067703
SPATS2,5.121476519669108,5.384994500676052,5.267236937924961,5.6754477719669545,5.146943199122217
