,ACH-000828,ACH-000117,ACH-000017,ACH-000276,ACH-000554,ACH-000818,ACH-000856,ACH-000223,ACH-000019,ACH-000330,ACH-000643,ACH-000573,ACH-000711,ACH-000248,ACH-000783,ACH-000857,ACH-002499,ACH-000759,ACH-000196,ACH-000910,ACH-000258,ACH-000691,ACH-000147,ACH-000930,ACH-000374,ACH-000148,ACH-001705,ACH-001392,ACH-000668,ACH-000876,ACH-000699,ACH-000044,ACH-002921,ACH-001396,ACH-000352,ACH-001419,ACH-001390,ACH-001389,ACH-001388,ACH-001395,ACH-001683,ACH-000536,ACH-000568,ACH-000111,ACH-001819,ACH-002401,ACH-000212,ACH-000621,ACH-000849,ACH-000028,ACH-000277,ACH-001394,ACH-000721,ACH-000902,ACH-000097,ACH-000927,ACH-002399,ACH-001391,ACH-000768,ACH-000288,ACH-001662,ACH-000934,ACH-001393
NUF2,5.1669082198424485,4.938784484790553,4.451567207457571,5.672012276027922,4.882144132953794,4.419228746161076,5.837347881249353,5.751410160064371,4.005795192522732,5.429883724974755,4.235543265323396,5.300050489459433,5.510110604630274,4.925970944030995,5.090980422664645,4.234072065664086,5.721186704993559,4.251878121089373,6.456919471234417,5.838740035162307,6.631377891071771,4.985322814868753,5.277300420365284,6.009600230881685,5.075921918050407,5.463658419160763,5.564460483981075,3.2899347717750507,5.751892138404309,3.6063237754002393,6.163907250182838,4.891846876691681,4.243326339260603,3.340150622084036,5.832733080905874,5.456162179873219,4.876040471571722,6.338392322841437,0.1720944651875812,4.199020531281572,4.964116719979939,5.826388320184424,4.292627166477812,6.34502905458649,5.824854391887554,3.2757118285816733,5.45349453278476,5.629808302357969,5.382355995408599,4.552327881881244,4.597417947121988,6.106061410432741,5.60983768314038,4.8283573948373455,6.398328135923478,5.708788693489349,5.49425558654498,5.0210932394746965,6.115663784666689,6.216773014552252,4.430218356071491,4.798092000728636,2.826064372355048
CDH3,4.51758435912643,4.662336544199237,0.2748174577608485,7.366733105224253,6.386631632886232,4.875426225256411,4.058515653428026,7.593816865105117,4.580477169650197,5.684296984435862,6.404271328023938,0.2757997158173167,7.530094158354318,0.1185856485270171,3.4833643607133493,7.635224744901752,7.833231664638467,5.0095621629519815,5.26768560285999,2.5169606598988223,5.8050808860944265,6.304050999908809,4.839445686984461,4.443825425954758,7.745949896967122,0.4171930778755999,7.48017624361424,5.50701442271417,8.426977538351313,3.860207990505824,3.5804952593786803,1.842463994389616,1.4596624313793125,2.703539290205859,4.649833858513883,4.101103751919726,6.292938155390261,2.4556783566702487,3.776188230579444,4.013837401070291,5.56695211222889,8.325840603555779,4.268157386305154,4.273687451299951,0.202482919573653,9.572215141753489,1.3334695328407935,0.9517213162533966,5.221687647266119,5.655941381109879,3.8502993728480814,6.302368407385473,0.2035482385814186,5.017547827455607,5.728521905786396,3.015283461446546,8.9223614032479,0.1366560194161933,0.3662074935699728,6.196071913977403,1.296298812329305,6.293565449705308,5.356841038247936
CENPF,6.715961990255145,6.194727310876595,6.131945422619266,6.510264131571651,5.25720301501846,6.013915543223657,7.1926676198763015,6.517982692516327,4.529414936253325,6.49860192316327,4.570262542798635,6.362343638643241,5.558515614224248,6.599970846285604,5.860600340981947,5.619040256445983,5.569943685971102,5.948701290704584,6.967687386345098,7.257557561537726,7.330889995347866,6.998714527207096,6.499601963324145,7.486963702210991,6.772255182165757,5.665426882280511,6.046781333641596,3.3381105962662234,6.870118083965933,5.720943287170495,6.7536312763762085,5.771597750099137,5.605171315111473,3.9563819657736223,5.707295624489911,5.860585443545672,5.514295878229456,6.169387898321142,0.5487374630626846,3.124586208737554,6.437395879270423,7.123655851253804,5.070531014196646,7.3520699172744575,6.210067355144342,3.516431249022861,5.160561244105989,7.316227217498759,7.090070064692737,4.597245109673453,5.728592648271922,6.126698278790362,6.19592235684128,7.015716105156025,6.888816294899181,6.413230181138973,5.69927121695856,5.564149489985732,7.1134713097870605,6.549769268852565,4.4777550289759285,6.253977924244058,3.4079006264572778
CEP55,4.4582310592786625,4.927943847662593,3.8892788337055366,5.845798629228099,4.636827598531185,3.76555596231052,5.649980397504802,5.58299849810856,4.87526893614607,4.424680275481532,3.8540455320345743,4.8386391995778215,5.298009396723407,4.2685691346415835,4.776261938737434,5.392434207650365,5.64396583043154,4.246187637547819,5.606267506945665,4.825541427101827,4.491744088586241,4.828321848281836,5.472159553501561,5.025077533365562,5.736369457629505,5.693673729114834,5.2421870901849195,3.731813196730344,6.276185834852003,3.8928087155219218,6.022503198056632,4.429689603368501,4.270992324393473,3.354013417535254,6.059526172167208,4.79279810142334,4.534503658946058,6.171435033217534,0.1960366513758068,2.6038719901892,5.044888048553039,5.504235834327022,3.572780552904665,5.031743652564554,4.560733293701657,3.6051742789149026,5.458883946352394,5.197991165735134,5.674793942505231,4.704329745574464,4.643688827442778,5.7724821774688895,5.772125831658679,4.4088341181407165,5.551340668769007,4.953316463558796,5.3415303869973,5.92026471283978,6.317445175793307,6.761710784363344,2.8379028862205704,5.292560911657056,2.2509130787672222
CXXC5,6.114637713117611,6.958796285589354,7.142781008693944,4.970881256660122,5.620539492777086,7.035491949881164,5.2584435468257125,5.918009290669371,6.285696276727243,6.455401202768662,4.336347664924449,5.077631824637277,4.963834752658401,6.526632254377693,5.345705065476415,3.3005220584575476,3.713596846087776,6.202529387021823,3.00797764636146,5.108913304772903,6.529635132929115,0.9464741086833934,6.315763652727774,4.961271408528915,4.35620016439965,5.679972642992378,3.97642779482254,6.92548916479092,4.947301463222329,5.741957688917117,2.488576705216956,7.24164000717884,7.076420137548253,6.252370241037666,6.1593728651142,6.061132456498756,2.3786919488637253,1.3674213913419546,2.3484279008061595,5.807040586396604,5.867303453759922,5.2010103881229695,6.087303711698083,3.40493581123946,5.682643520280294,3.3455085049457445,3.242981992269396,6.441262689446234,5.384816552958455,6.49310609374179,6.006946507360197,3.960178057578883,0.5746518318517487,5.284980446357465,6.233000287342087,5.795496832699812,2.7947755854530456,3.2101456931032724,3.9733633053488977,1.141210418255575,2.6570134056966506,5.894715922416513,5.852293540415635
EGFR,0.1946115731331287,0.1918809686024399,4.364649467352947,4.590404409254797,4.032153752772876,1.1099154639758655,3.711583007473961,4.9180474666731016,0.2619676194343406,0.1279026456882242,4.248011035475601,4.645638259752749,5.214699903175154,4.938718629569062,0.0838873196403752,4.4765825879822545,5.2576367568332225,2.0025441122280023,2.709310489188232,0.1672461562953459,0.202801344380895,1.904287550431214,1.9183289835071993,2.4040256880734323,6.288515448594536,4.853900861193496,6.1192441106443365,0.2383344181708742,6.323715928510158,0.2685721287445497,4.649155562648648,0.1493582303024073,0.0,0.0053108720712079,2.57135644514291,3.3197436443366257,5.484544194638567,4.527014018246884,3.8356815841217102,0.0203748965450858,0.8546492016041422,7.7265383441863005,1.1366376469363733,5.044603950649768,0.1307279559807598,6.299266640994712,5.380805625665986,3.5331770828116755,9.119835992564145,1.100055911751678,0.0940049498333247,6.251897051884082,2.571645262047308,2.799648935758194,2.189770802666043,1.5498465706524982,5.355883143530979,4.793713843932534,5.689570339348306,5.453148792137598,2.0650069787053513,3.0701849316155276,1.6984985428340478
ERBB2,11.40731025831819,11.393856978544296,10.798066720363062,7.114356612854375,11.638834093552903,8.13648364518811,6.273094358271646,5.580531438155187,5.398114325909374,7.24580937380886,5.40356427614107,3.871557840445523,8.432587832060696,11.649076503186066,6.0496373016547365,5.002103898260166,5.298984497841127,7.454776342678837,5.367937128508342,8.057206553112303,3.444150211718181,6.459110255315946,6.285341180473159,11.061587209436256,5.127798338365821,4.829418310169937,6.18472462050188,5.290988307190784,5.321635919557831,5.718252015513709,4.143319943217801,4.5246216340139025,8.078273585066828,5.586236318820405,5.314957492109641,6.606332659692456,3.010061892510616,3.757033917289305,2.214799356302844,4.478881229406896,8.138481724549615,6.036578060066004,10.902081118458272,6.72474575708746,5.343397161950245,8.795422801948785,4.591308404185142,4.495087516816948,4.546999379348131,5.668215588640808,11.642241271184114,4.6546360285279675,3.5059925243950385,7.689893171363159,6.766449400825998,10.471726012618872,9.479386196863452,4.229080275480307,4.596684735567345,4.085560624872626,5.625092187438277,9.647796574688082,11.65032926561396
ESR1,3.8654041813328335,2.7850985271561717,0.3554414525591511,0.0429244451738409,1.9203237927826244,5.112195518209169,0.4612571773663594,2.316950877470037,5.619894219974931,5.72525854173444,1.3645164042160458,0.1536613835945101,1.7466223428743124,0.40718957187911,4.641887010453142,0.8716489109542748,0.1555717987685428,3.5099998018419956,1.661594561039856,0.0134293856378989,0.1339303997061549,0.0094804702627708,5.6355280456605055,0.0700773972440779,2.6724321311086547,0.07579273778504,1.306798848143964,0.1426931269455296,1.5590757088326497,3.4377031426007787,0.0382956981815445,6.793986893244193,6.22381251917094,0.1790804068223413,6.360439780758942,1.9141894505672103,0.1815262304974726,0.0227299949943947,0.0388322713887603,6.3516583613819035,4.139665944900556,2.0501777730004913,4.635481611400645,1.189520968092523,1.4365563139564648,2.944536145462221,0.7555046298981606,0.167274421156459,1.2817813232055288,4.865082442322472,4.042556792577562,0.6379032530319156,0.0242515857871365,0.0403664435082234,5.042784398089239,4.431128160169013,2.795658907818106,0.0127002441514858,0.140744632641421,0.015102158539339,0.1103258223460214,4.342142244119469,0.0946076764429841
EXO1,4.8353480936250275,4.363150046426004,4.151818236300272,5.590781641569657,4.991159000912046,4.391760847345111,4.867427017661167,5.176298833917947,4.407121575072706,4.370359603203117,2.775187533047094,5.125547788567308,3.7645372447319274,4.840105663041648,5.0808537610453905,3.797894931787596,4.3968239514355,3.0386661938091764,4.918844160189247,5.844034076288052,5.067298824417976,5.006639131123592,4.7304117149190335,5.438282869798484,5.4857391625971275,2.6381850768469755,2.601905656450746,1.3905961542839669,5.170357745046283,3.820781449036739,5.109172478556168,3.223717546275001,3.817459538146651,3.4209902944199735,5.12716688701355,3.681550464067717,3.977719535003551,4.049273534510473,0.0544192504382901,2.0949386635335694,4.17484580789979,5.983114459490776,2.5945413838287132,4.378032957519584,4.233105774915325,2.4841458668111764,4.336176253066738,5.378081525050644,4.842707358400801,4.750767271699517,5.031642211949605,3.4011525834484075,3.770374499072555,4.981642625433289,4.626783706911873,4.47017891258311,3.2475629970713538,4.39488450869585,4.783697607265535,4.790370654292158,1.5801937342867949,4.987061594154986,2.205467586233636
FGFR4,5.998339945988865,6.755782229917709,4.506627329013488,4.128087145553065,7.4637777422182845,7.25192734063894,5.265365629714831,3.968763545546411,3.685424407695201,2.918865144969255,1.7776448478040507,4.3332018736796245,5.011871291760376,4.900296861055535,9.42127169687591,0.7161621215764519,3.710393192170516,2.159135071803466,3.8909330217055422,10.484994034255404,1.2876555016189724,3.5600301231263045,4.361698187720369,6.3351687968957755,4.358487693514926,1.501082408243486,2.462010425047239,4.878377130365575,1.941560838557033,7.036250554237239,4.212312525615135,9.309435425741672,2.361125459065221,5.337903724005795,5.722430503133172,1.395079256021144,2.800291122394046,2.6156681818809187,0.0298867775479069,6.6827839558922895,6.902977995832404,3.098414504416134,7.253630060015148,3.467344700280562,5.411090617382256,2.853576546254797,2.261994088165598,4.983682254409701,3.360111396439055,4.318309609762769,7.759175811898294,2.3125228717398447,2.4314116876953524,6.777787904273548,7.400204882701279,6.44883324065434,1.4926941026617164,0.3636589031613057,1.3394224743466348,2.1225302642900843,2.3388465356548,7.702906835510453,2.9975688148960895
