,weight_arc1,weight_arc2,weight_arc3,weight_arc4,generalist_score
ACH-001819,0.05815642051922243,0.06928635183008534,0.735573973472533,0.13698325417815932,0.6121352608800369
ACH-002401,0.0,0.15790563799131613,0.0,0.8420943620086839,0.31463777498760304
ACH-000212,0.7053799220278698,0.039450181332785265,0.0,0.25516989663934486,0.5209857876500438
ACH-000621,0.9119993210535455,0.0,0.08800067894645441,0.0,0.21488044988848015
ACH-000849,0.09315423519079133,0.0,0.12011046105150897,0.7867353037576996,0.4792386221960513
ACH-000028,0.12544871985377884,0.052449805974115554,0.7799648018908468,0.0421366722812589,0.5354539167105256
ACH-000277,0.0,0.03836497943451907,0.9493854676714922,0.01224955289398869,0.16470562162222468
ACH-001394,0.24836571469492788,0.2420242019390413,0.0,0.5096100833660308,0.7450321337639335
ACH-000721,0.7054796546719374,0.17770928498181154,0.11681106034625112,0.0,0.5799302013532492
ACH-000902,0.14445860382633932,0.05176097565804379,0.8037804205156168,0.0,0.43881916587159936
ACH-000097,0.042009770175950915,0.0,0.8695947411467365,0.08839548867731256,0.3383936266150614
ACH-000927,0.047260380260053976,0.07352081039360978,0.8566864075362408,0.02253240181009542,0.3997143021617947
ACH-002399,0.003230828561610801,0.08166999289360755,0.0,0.9150991785447817,0.219511806467398
ACH-001391,0.7307481679021741,0.17707506127221656,0.0,0.09217677082560931,0.5449986789570281
ACH-000768,0.6474654317393541,0.018960790415455907,0.0,0.33357377784518993,0.5214341098329259
ACH-000288,0.9617729058091077,0.0,0.0,0.03822709419089231,0.11705179111793297
ACH-001662,0.037284491597762336,0.5738366897544365,0.38887881864780127,0.0,0.5833114639963133
ACH-000934,0.14122298204505293,0.0,0.6159982352229588,0.2427787827319882,0.6626073322191611
ACH-001393,0.0,0.1993882500631719,0.48688748930732345,0.31372426062950465,0.7470415835012811
