cell_line,CLDN7,CDH1,VIM,X1,X2,mu,category,pam50_subtype
ACH-000374,8.158634932001338,7.399606913335505,9.97981100571182,8.158634932001338,2.5802040923763148,0.8596518382452705,E/M,Basal
ACH-000148,0.4167619315426851,1.0084008324149638,12.243361450227283,0.4167619315426851,11.23496061781232,1.9999999994981867,M,Basal
ACH-001705,6.983780284724287,7.1229832540807765,4.896843387747113,6.983780284724287,-2.2261398663336633,0.0024935684339251196,E,Basal
ACH-001392,6.920841115377201,6.364449868045041,0.9697388153947288,6.920841115377201,-5.394711052650312,5.469355907838924e-06,E,LumA
ACH-000668,8.50826621342064,8.296305971509016,4.865414079856941,8.50826621342064,-3.4308918916520748,2.964590744436446e-05,E,Basal
ACH-000876,7.117424927587175,7.385111745186147,2.400641756172502,7.117424927587175,-4.984469989013645,9.354668013328293e-06,E,Her2
ACH-000699,0.8008638773809558,0.8348050465771484,9.985528892284249,0.8008638773809558,9.1507238457071,1.999999949702505,M,Basal
ACH-000044,6.117732439233937,4.0600992782416565,3.4037340001982472,6.117732439233937,-0.6563652780434093,0.14968176612724415,E,LumB
ACH-002921,7.827323648147349,2.726356051904463,0.0842616010850531,7.827323648147349,-2.64209445081941,0.000351119699286917,E,LumB
ACH-001396,8.061441401660005,6.954277750550168,1.2015711339346622,8.061441401660005,-5.752706616615506,5.74806430675423e-07,E,Her2
ACH-000352,6.132395877552805,8.684520716205975,1.4949326861325982,6.132395877552805,-7.189588030073377,4.740191800189919e-07,E,LumB
ACH-001419,4.24157327554424,6.4457498742021055,4.91528186586766,4.24157327554424,-1.530468008334446,0.2892595490284918,E,LumB
ACH-001390,7.675392543042777,5.153079753614448,7.427723487543634,7.675392543042777,2.274643733929186,0.8663089809761647,E/M,Basal
ACH-001389,0.2537182439711621,0.4728287790666123,11.54998676583899,0.2537182439711621,11.077157986772377,1.9999999994522704,M,Basal
ACH-001388,0.2950435344204628,4.216051257633134,0.9019986923269212,0.2950435344204628,-3.3140525653062127,0.7247872524801178,E/M,Normal
ACH-001395,6.124696206906261,2.798347113164047,1.9749330637541456,6.124696206906261,-0.8234140494099016,0.1116553385847433,E,LumA
ACH-001683,7.966551594337559,1.928844036712568,1.1900142706854395,7.966551594337559,-0.7388297660271286,0.01197375491766639,E,LumB
ACH-000536,7.532581907082421,8.625427581426305,2.8901509244730725,7.532581907082421,-5.735276656953232,1.2210230219134033e-06,E,Basal
ACH-000568,6.06801723700132,6.970382033123662,3.24998530252371,6.06801723700132,-3.7203967305999517,0.00046414559472596206,E,Her2
ACH-000111,5.349789870241872,6.000450771770857,6.061998631919232,5.349789870241872,0.06154786014837477,0.6707385629596867,E/M,Basal
ACH-001819,8.010438590280915,7.396467782863413,4.280659432455199,8.010438590280915,-3.115808350408214,0.000108186305508573,E,LumB
ACH-002401,8.821321175679442,7.741109639170961,6.320192210190719,8.821321175679442,-1.4209174289802426,0.0009944136972038775,E,LumA
ACH-000212,1.969023362608372,4.043501995739275,10.788188132519634,1.969023362608372,6.744686136780359,1.9999724857700572,M,Basal
ACH-000621,0.3994051879933591,0.8712491041271004,11.268618021951502,0.3994051879933591,10.397368917824402,1.9999999974691705,M,Basal
ACH-000849,7.978149858173823,5.95025376696743,4.446692943017512,7.978149858173823,-1.5035608239499183,0.002657703525121291,E,Basal
ACH-000028,8.009123189547637,8.369204722778937,2.237364859876824,8.009123189547637,-6.131839862902114,2.935609338949874e-07,E,LumB
ACH-000277,6.449690121972638,7.316525920558444,1.979648577827428,6.449690121972638,-5.336877342731016,1.162635054285932e-05,E,Her2
ACH-001394,7.463050208603191,6.315082521808237,6.20238637533479,7.463050208603191,-0.11269614647344728,0.07578376454945579,E,Basal
ACH-000721,0.1705942566860727,0.1346809513930285,10.239240495982392,0.1705942566860727,10.104559544589364,1.9999999967087394,M,Basal
ACH-000902,7.562311122349268,6.860031646361179,2.1714342325585347,7.562311122349268,-4.688597413802644,9.122471146150168e-06,E,Her2
ACH-000097,6.698399081668498,7.681456293235491,3.942448820167298,6.698399081668498,-3.739007473068193,0.00018993395821875758,E,LumB
ACH-000927,6.781320366759722,8.102285442994596,4.726526083096159,6.781320366759722,-3.375759359898437,0.0003457492516422134,E,LumB
ACH-002399,9.070885705626251,8.360215012397521,7.27769655133679,9.070885705626251,-1.0825184610607312,0.0013741999891290213,E,Her2
ACH-001391,0.1546078348475456,0.0783311053216949,10.628582238813046,0.1546078348475456,10.55025113349135,1.9999999986555652,M,Basal
ACH-000768,4.086070393098447,0.581042667862155,10.629411266584071,4.086070393098447,10.048368598721916,1.999999245200827,M,LumB
ACH-000288,1.0256808728719444,0.7508937290437583,10.73591136543559,1.0256808728719444,9.985017636391833,1.9999999866903333,M,Basal
ACH-001662,5.330479522897214,3.231602904281873,5.696630974018098,5.330479522897214,2.465028069736225,1.0830307230030647,E/M,Basal
ACH-000934,6.638482253262627,9.018545160099787,8.840249205641095,6.638482253262627,-0.17829595445869195,0.18118451240187305,E,Her2
ACH-001393,8.795861086587449,8.307788243310792,0.0231801101540779,8.795861086587449,-8.284608133156715,1.4809682369332222e-09,E,LumA
