,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
TCGA-A7-A4SA-01,217.0307423369227,395.8271240659832,68.52682949737817,48.05478639690053,127.56712416561294,-53.53394851904465,-18.420764917592457,78.0093824713289
TCGA-AR-A24S-01,236.6090726036641,389.3542751020676,76.7602488095255,16.038113943196286,110.97158048170142,-61.97834765416018,-38.76167078082003,52.32201687475859
TCGA-LD-A74U-01,221.1312695150663,396.7384219857015,72.45621765789966,46.92972779964036,132.42535498294635,-61.37112963900811,-34.84065114654612,85.55612896921568
TCGA-D8-A1XA-01,202.2201187872462,397.9493224246411,65.80692797691032,17.44329716700195,118.34020538143918,-53.392199876011865,-22.12246632676607,66.553098208736
TCGA-D8-A1XR-01,199.72841957726783,399.30923903501366,61.31212178823293,5.5940505804922935,111.41761767875856,-65.30157151804337,-23.402207823601035,67.48089868392225
TCGA-A8-A07Z-01,190.01505913797783,393.0719633599243,67.83804306859119,18.581519428413753,122.27630939875297,-51.649556389907524,-10.527636656572753,86.09576507370929
TCGA-E2-A1IJ-01,224.88460101524126,389.1023290328619,76.25687315399944,32.548273284897185,139.20627013754435,-66.3826623861992,-31.815965148169937,72.40995853487789
TCGA-GM-A2DH-01,224.71243076289053,406.552464195046,71.78635435866579,39.95840124797975,93.66552479174804,-69.9071447715572,-20.32844807395393,64.4266850680986
TCGA-BH-A0AY-01,209.97814082387762,385.62857825147955,65.13304432555404,17.710214435573278,111.14766541666579,-49.433678133304745,-39.013006210144155,78.36767894628892
TCGA-BH-A42V-01,212.7635348426297,392.3143277349427,66.7220566867893,44.91462069192974,132.2021181796726,-61.501080535489315,-22.73308295726485,88.47752910807782
TCGA-B6-A0IH-01,223.16721000073724,387.19059014367394,69.82533772402073,37.472522323743924,129.48686351849074,-70.31372019972756,-36.60081332262689,67.88920142521278
TCGA-A1-A0SH-01,231.17539023567932,381.11035553296676,75.10091527209744,12.678581249288605,125.78890525757213,-59.00558328655453,-43.45986324760582,60.12830809467553
TCGA-AR-A1AQ-01,255.75794223862871,367.39935230225626,87.7164835190666,60.67902536341893,73.9583050733935,-75.9799869057131,-37.20310882705151,82.37528097456513
TCGA-A7-A0DC-01,169.6022356198831,405.16545258866347,45.24649999505118,4.621394203362392,109.20427468358174,-53.90228844332186,-6.364213189326565,70.6777605519143
TCGA-A8-A07P-01,193.74961389470755,401.73686217021566,66.59133704219761,-9.457829947206896,113.24613248229718,-59.321201284657555,-25.140669210040674,63.22699420938184
TCGA-A1-A0SN-01,212.90222817434753,400.35703460992136,76.30777844829677,20.754906385756403,109.93651066066026,-57.03251545104258,-22.858298504707946,68.49929653873534
TCGA-BH-A18T-01,246.63608212423716,372.7656868041071,81.99753752520706,50.81422171643249,53.98078889730276,-73.53845482943683,-41.53949705331002,65.88184541491546
TCGA-E9-A22B-01,219.82451175440602,389.1908240707272,74.93577065469194,6.893679547888176,119.9949777636382,-61.51889334005123,-19.288338968753987,78.97166819892502
TCGA-S3-AA10-01,264.5253094006948,368.38232981769045,86.14464590779502,70.46617106115266,78.2070756523485,-60.86416781107288,-25.248215240654567,76.6986942429667
TCGA-AO-A0J9-01,227.94311891417672,384.156781731382,66.78082983074734,38.01913726978046,129.72146589976887,-60.005293402724085,-22.42668347252226,98.24378387018405
TCGA-A1-A0SE-01,214.3439222641732,401.3728532253566,69.56443122857272,25.671062216008764,125.03223611854605,-69.67898137726868,-30.154763752291526,67.56598727971163
TCGA-OL-A5RV-01,197.18714236566203,404.1204956424049,77.3622577212806,40.29274143593767,133.86496203684933,-65.78078229121002,-24.26430955073612,74.34578162967173
TCGA-A2-A04U-01,240.48181614683799,363.9288470161997,62.59241369921881,61.1280623968093,63.705238640543016,-76.58114014447247,-28.3348912616538,104.8108859774247
TCGA-A2-A3XV-01,171.10238827592607,361.9212908782647,64.91042561657227,11.419143495691365,68.10994200039666,-39.8306079924591,-35.9744902877377,123.23479637469924
TCGA-A7-A3IZ-01,190.56909773834442,406.0489419919893,42.70817907355705,7.963664953362645,114.70265850070794,-61.92047131110062,-14.288282639477586,62.24271971650771
TCGA-D8-A1Y2-01,230.52070082753212,382.7985628843761,69.17949445011226,11.859107631376759,118.13225433503928,-55.93471708628761,-29.093301300635655,80.32456370860365
TCGA-E9-A229-01,231.2220642134528,397.26961529467803,71.98708928279623,25.3176645447269,132.86836398421798,-63.161491229898864,-23.98974625718327,55.85476850138065
TCGA-A7-A4SB-01,193.30290829046763,397.12175370559294,58.71383026316775,34.2032478399655,127.77456716848552,-50.212934456739326,-23.954267566080635,75.64730312397782
TCGA-BH-A0HK-01,214.44128142921804,377.79353742823434,91.57542200019256,18.85192067650999,109.70943181579686,-62.240470322500535,-28.053612145806245,71.53272602633308
TCGA-3C-AAAU-01,192.4560129221165,411.0237899911166,46.05117439764098,28.200726472683982,111.02794856487185,-57.177460731444235,-3.1547904946650176,75.98527298363817
TCGA-E2-A14Z-01,215.77708432877242,393.57432192902024,73.10060863181161,31.462471542872414,118.68685758494894,-56.85629980850512,-32.572497387029856,81.8335247710913
TCGA-A2-A3XW-01,197.9429200630864,367.1445447510048,86.45426698299545,66.07048037928686,128.30282752937185,-45.21291985060872,-13.606326804957487,104.01357619100983
TCGA-D8-A1Y1-01,216.10632843816015,395.59092305745276,59.19458842616592,9.76302232199685,118.9744184216178,-51.861541871891525,-25.578731232945206,75.3159178466237
TCGA-AC-A7VB-01,176.8110835078788,409.90983682750425,49.659395176662315,20.48780541477955,98.9112608020488,-48.831995660944024,-7.701782603242944,77.44896772805865
TCGA-B6-A0RO-01,180.13885049830182,401.3550092481072,84.0361093700096,4.674380767084969,117.12748279617443,-67.00755700694137,-23.451516773092127,75.04003756015251
TCGA-A2-A04P-01,233.39807685051315,371.68221519747124,88.59779577137019,63.69759798268461,86.45219035963558,-72.86423354933748,-47.85822653487697,101.8495714058152
TCGA-A7-A13E-01,242.34673787835206,367.52240501013944,79.3106278960058,67.73694407239027,66.26951449881982,-76.28973760275275,-42.141521308201746,72.66415703141226
TCGA-A7-A0D9-01,205.94434161517162,397.98334117161016,69.6636449505389,24.854145741887187,110.22412422698251,-49.268886376519724,-12.269924559182392,66.36358171692731
TCGA-E2-A14R-01,233.9549557261707,369.76110245797213,89.95553273429095,66.34294419709377,61.844233976995596,-63.92161730262678,-34.719719891274735,88.94541447784073
TCGA-GM-A3XN-01,222.71439759189892,390.97613187834986,65.08308747683503,50.390719337302606,139.61550388618542,-60.75559607948137,-22.628780496657154,86.98831974117971
TCGA-A8-A06Y-01,190.651464756413,391.8442329243935,72.2377179534898,14.93481034352396,109.67513414927986,-65.25024699611276,-23.930337962990336,67.48033278770492
TCGA-E2-A1IK-01,197.06885546181408,387.0318612677945,70.56857151741067,12.494944658152203,120.2697819136656,-72.93904748555804,-13.337558779828392,82.15033970869555
