,arc1,arc2,arc3,arc4
AASS,2.569129261378805,0.8680271759322911,0.6097808702133741,0.8912840871819918
PLEKHG6,0.6519743928266362,0.771070321148158,3.391888822513633,3.770980191906481
SS18L2,4.787001578694654,4.238307278249538,4.833781462360494,4.490788602890782
MPND,3.0799119714040075,1.3608627498536263,3.5875436521763353,2.775113083579621
MGST1,6.165838952189702,7.264313443420783,6.39565281547017,11.171650823287425
CRY1,3.9116186921022504,1.3197977160817334,3.858429061574743,3.929213380929146
NFIX,5.81068475972246,-0.20958709046675228,2.811228950190377,3.853072217200335
ST3GAL1,2.427082324565391,1.1380404409562628,4.79088489861779,4.884488620511173
MMP25,0.9042674487286034,-0.3262234973462619,1.7218577714335588,0.6163687356601362
IL32,5.276240699094675,1.9720307971533728,0.7051279943017081,4.009882282228797
PKD1,5.976321232399965,2.651819568706541,5.757516109856656,4.196958380421792
MAPK8IP2,1.0783365636173687,-0.1236458120192041,2.014147944774167,0.7782721827756316
MED24,5.630879316645252,3.4483409688369253,6.7959986430474295,6.162658315770387
RHOBTB2,2.581444134421832,1.0574880112598106,2.88804564886253,2.6664420819545165
HEATR5B,3.3431486979539295,0.2177074791885274,4.004845911160046,3.559332797403954
SEC62,6.254218741415443,6.860357716360505,6.978511117753158,6.759284210977277
RPS20,11.575691692269746,9.945942203569219,10.844255349559845,10.618351022470762
CSDE1,8.714788966942553,4.009598379888222,8.776958872536829,8.6495808071273
UBE3C,6.027538878591541,2.285478818436086,5.5009773740876025,5.5949516511138295
REV3L,3.244194345301371,1.4400721254018711,3.221690495655586,3.330838001261547
PAX7,0.09467143030326447,1.424538279536293,0.16852475976418269,0.7785947446705961
MASP2,1.0754948044439052,-0.24768953878185718,0.9701226735558818,0.3653029696855687
IYD,-0.5157459496700114,-0.11909286824446808,1.141880852487065,0.7848389025356654
FAM76A,2.726575714317982,0.8451482115621234,2.5071049379727817,2.4630695418397197
TRAF3IP3,0.8474379363601818,0.7432876148113068,0.8543194489779392,1.0593131263647613
POMT2,4.203512039014818,0.9639299064130191,4.554204681060083,4.055920941268743
VTA1,5.748095275467138,2.2505897048379295,5.535363962319769,6.035641362986523
MLXIPL,1.2417209424790963,1.8664954934093332,2.5807036672965387,1.2495215515215727
BAZ1B,5.537860677428434,2.09036591793611,5.342834781150161,5.353355896227335
RANBP9,5.3400904781680465,2.6375720434314576,5.899835060144294,5.610066420544709
ETV7,0.46549932154495055,-0.0677265896657564,0.465218831866256,1.8177379838974648
METTL13,4.80333422729443,1.778191464667986,5.500501126293771,5.583716404495433
DYRK4,4.692235167840602,4.01174318774108,4.533938170611266,3.9234493593112436
ZNF207,7.294542153167811,3.498340057565497,7.478923660485608,7.683965854073224
UQCRC1,7.516813996717166,5.5152570788547175,7.75839930076641,7.493505845920464
STARD3NL,5.318449442855851,2.418075698734752,4.928702784216501,5.225310060143265
CD9,6.384252141048582,6.129441197082656,8.60494263553904,9.598810714146737
HHATL,0.07198739171556912,0.28247097329524884,0.31871172762482836,-0.09512130321411744
NCAPD2,7.014059311133998,1.4466145605210494,6.020598913097465,6.70225274630188
IFFO1,0.9874030310573512,0.21893871931868755,0.17630225156618856,0.15951400881073988
GIPR,0.7461839000581505,0.6513395181097862,2.077792076757012,1.2519133283562431
PHF7,3.588744912642327,0.6312205599137459,2.1306876198946987,2.4657765015258533
SEMA3G,0.20398505937386363,-0.15796726286784246,1.0144967235202114,0.448749728782391
NISCH,5.108090215660844,1.8147598740958428,4.924002899428036,4.070479344615414
STAB1,0.19093412924172434,0.10986345176531051,0.13858590704232598,0.2995770805538029
FUZ,2.9901177149809697,1.584236020750101,3.633691991697036,2.946337507323252
IDS,5.148040786974145,2.9247998111217024,4.67552506058363,4.959765203170939
PRSS3,1.7021926064527575,1.8264183490753634,0.12240126308071997,1.485547261490051
ZNF200,3.0759213054312906,0.9737299481641029,3.5589936573526466,3.2301970421525197
