,dist_arc1,dist_arc2,dist_arc3,dist_arc4,nearest_archetype
TCGA-BH-A0E7-01,439.90349151872897,701.8644621384453,422.52392741732353,416.8309468246211,4
TCGA-AN-A04A-01,440.0702789284628,706.4751688353298,434.82693573437393,419.65130535081715,4
TCGA-E9-A2JT-01,434.3498397689561,704.1279907376049,433.40753413258244,419.29737938932345,4
TCGA-E9-A1R7-01,440.1367771439614,703.9261282883804,426.01866311133506,418.888549984381,4
TCGA-E2-A1LL-01,435.5446533024779,700.1984574432867,442.0023772532945,410.1080566423088,4
TCGA-E9-A1R0-01,443.46534236803126,709.4544063108104,434.3731477296234,423.87682395714984,4
TCGA-A8-A07B-01,423.7388212853466,688.154857707978,412.986922298032,402.4564263158696,4
TCGA-EW-A1PE-01,448.460080918455,711.3186156521994,437.4777963803738,423.34032457380727,4
TCGA-A7-A6VY-01,442.9970337355079,709.8136594144732,447.89505377580554,420.82692067062294,4
TCGA-E2-A156-01,434.16556585234133,695.7415434966289,413.774194362281,412.8730696380338,4
TCGA-A7-A426-01,438.6444379897338,704.5881831084042,429.1656322354153,419.3539797775733,4
TCGA-A8-A06Q-01,445.030320318631,704.7412364757957,422.3374820234169,420.7927353366756,4
TCGA-D8-A73U-01,435.89689376360764,701.9703997590451,429.74361066397694,415.33383787378295,4
TCGA-E9-A54X-01,428.9663561503093,688.5328102914249,404.9201934097374,406.3667449832088,3
TCGA-A8-A0A7-01,445.2462516736434,710.565905974316,441.8665689908381,422.03282869803144,4
TCGA-E2-A14Y-01,430.8922492676152,690.1676536453715,430.1318814958825,398.20084549987916,4
TCGA-D8-A1JN-01,428.84479824526744,685.9481489692045,403.84548853456346,401.2609129113805,4
TCGA-AN-A0AJ-01,444.4851943452141,711.0228952453186,435.44800056260567,426.0272927400428,4
TCGA-A8-A076-01,450.6944344851492,713.9346403697442,437.2727865185584,427.4596191892101,4
TCGA-A2-A0ES-01,443.2252239352854,708.7602125486846,438.63222043494216,420.82016412115996,4
TCGA-BH-A1F2-01,440.04611670296725,706.1560191954201,436.53037551183996,418.4472478545692,4
TCGA-B6-A408-01,438.9369539860649,705.5413968593987,429.2521424234406,421.2457895921644,4
TCGA-E9-A5FK-01,424.05157282388006,687.8755020018892,412.9793524512114,401.69295873035867,4
TCGA-LL-A7SZ-01,419.5585118408233,683.3112658579379,404.28105266058253,399.96358867132693,4
TCGA-E2-A572-01,400.57576451167813,658.1640716350919,375.5095890007928,375.47878618545224,4
TCGA-BH-A0B0-01,438.3769868754156,703.0578338007188,431.4992368670447,415.329617841469,4
TCGA-A8-A09D-01,443.2091027930749,711.7127029321799,438.88572909208335,426.610075755834,4
TCGA-A2-A0YJ-01,428.99001290916544,694.7711242401363,431.4582998315437,405.75619053941335,4
TCGA-D8-A13Z-01,451.3855823279518,715.2155017124446,448.98909771623477,425.2852238739908,4
TCGA-A1-A0SI-01,449.6538194531702,715.5384442765899,444.04783367178754,428.06973926414685,4
TCGA-E2-A14O-01,429.82927913441796,690.2747942611539,408.4914998639911,406.80878166439635,4
TCGA-BH-A0E0-01,424.6716350504869,686.5355375730608,414.1027809657287,398.2609335834203,4
TCGA-A7-A3IY-01,439.41350855473746,705.36480025798,435.50797883719383,417.6647923149228,4
TCGA-EW-A1P3-01,443.052809436305,706.5083281869968,428.9581315222142,420.94366782997037,4
TCGA-AR-A24V-01,439.4616999202903,709.0012108150577,439.2028487333152,423.4523718253222,4
TCGA-EW-A423-01,434.16911769912383,693.4096515121843,410.1677919473048,410.45888817187046,3
TCGA-LD-A66U-01,434.21379424018664,698.6777948052069,420.870777010108,414.21013589800015,4
TCGA-A7-A13F-01,440.5629427780621,703.7617262755484,426.591111041966,417.91867707746434,4
TCGA-BH-A1FB-01,448.94234425876476,715.6352476977753,445.94085176987755,428.006841389468,4
TCGA-BH-A0BM-01,431.5138682097235,694.7626542995424,421.4876049887918,407.24653280121214,4
TCGA-AR-A1AU-01,448.09291483161826,714.7304983959194,441.17135344330694,428.60709106700403,4
TCGA-A2-A0YF-01,440.1563273253712,701.7355478219924,425.7367281797439,414.47078445198696,4
TCGA-E2-A1IE-01,445.06952701516315,709.4202685622494,429.0933935032086,426.33829670841305,4
TCGA-AC-A2FE-01,440.92492996475227,706.9524435179271,432.80306264810497,421.0024198979941,4
TCGA-AC-A3W7-01,445.1573493110342,708.4811189912983,431.9268302462936,422.1768288270946,4
TCGA-A7-A26G-01,445.3685180531634,714.9159434385183,455.86193193483575,427.1616810911646,4
TCGA-LL-A8F5-01,431.8533971183484,703.0599789182038,439.26446483948575,417.2357058783399,4
TCGA-A2-A4S2-01,436.27917736000694,700.922737458622,426.06152728351987,414.7127884069316,4
TCGA-BH-A0W3-01,441.21793984672166,702.1216587741806,419.6556328393727,419.0092364482974,4
TCGA-LL-A7T0-01,440.8466960622619,704.749925619893,425.7616459093257,420.5067851038783,4
TCGA-A7-A5ZV-01,418.3736972498569,688.4931245770533,424.24620590118946,402.4308609762449,4
TCGA-AO-A0JB-01,426.2564740996045,689.7343219989395,414.6047315106726,403.4098944990656,4
TCGA-B6-A0I5-01,430.19467885109077,692.073430911499,415.5427818414963,405.5786012681692,4
TCGA-EW-A1IZ-01,435.9131981223281,699.525153165375,422.1975756187271,414.1778679062784,4
TCGA-AO-A12H-01,432.8557465063191,698.1701507922713,418.4539500378229,415.80824000720565,4
TCGA-A8-A0A9-01,443.7037172392463,709.474063780013,432.73672082540133,424.72568372474694,4
TCGA-AC-A2FG-01,445.1091023535379,708.692263642311,434.24667467206217,421.4284070692101,4
TCGA-A2-A0T1-01,440.41371522271845,705.3779249905439,434.05788034667717,417.64239931785886,4
TCGA-AO-A0JJ-01,440.17050154166753,706.2821908441975,434.8343112192525,419.21168998451355,4
TCGA-BH-A0E1-01,441.5823816131707,706.2329493936633,430.90466534387815,420.083327284486,4
TCGA-AC-A3QP-01,425.9999081497672,690.7024195499885,416.9278144525276,404.3531677561743,4
TCGA-B6-A0IP-01,446.4313132078046,710.1997529156536,433.67463767961954,424.06503596290065,4
TCGA-Z7-A8R6-01,442.45192279870844,706.3688032148026,427.7799118491818,421.77949163167256,4
TCGA-E2-A154-01,437.91830295749094,702.4822371361297,424.49180483787734,418.0477050686984,4
TCGA-A2-A0EW-01,443.1562417800407,710.1608830526454,439.05993507105615,423.37090284652237,4
TCGA-BH-A0AU-01,446.29553053758707,713.8898452017405,438.31941028576665,429.5296688819098,4
TCGA-BH-A1ET-01,438.30818232689626,702.3343492738398,426.2533060179354,416.37608303970916,4
TCGA-AO-A03V-01,444.529769231541,708.8263056118941,432.1622315991464,423.1266188403364,4
TCGA-GM-A5PX-01,423.0694505031535,689.6295905360762,414.9243804083738,405.00830620248286,4
TCGA-C8-A135-01,441.0772727870034,705.2873468640704,435.17909441680024,416.7507868286462,4
TCGA-BH-A0AW-01,439.25497608591155,702.3724150807227,430.2216999422486,414.09618825884195,4
TCGA-AR-A24N-01,442.73293751126505,708.4649423340954,433.8654561266281,422.5056556428266,4
TCGA-A8-A09Q-01,441.7666703706846,708.5899127344123,432.19243298293,424.39618050908246,4
TCGA-E9-A22D-01,440.2022925468433,705.9224345494772,429.6209228525259,421.008651629153,4
TCGA-B6-A0I6-01,440.59457025219285,712.5714477190288,448.40042101506776,427.11335471502656,4
TCGA-D8-A1JH-01,447.2304855755218,714.0183293371576,442.5350785671516,427.12112557362684,4
TCGA-E9-A1RE-01,440.671463602636,706.7585547421492,426.5127529832307,425.07572221510117,4
TCGA-E2-A1BC-01,429.7255858538851,696.2679834572658,422.856345329346,410.67504078446547,4
TCGA-BH-A0C0-01,443.3871258423493,705.500599067106,431.6421451481447,417.3519345029944,4
TCGA-AR-A24X-01,437.73267199283845,704.11409627976,429.878997371395,418.5378885805629,4
TCGA-EW-A1OW-01,442.0111361930837,713.3518299165373,452.88177516779155,426.8841582292883,4
TCGA-A7-A3RF-01,420.15183046701526,685.2814084525686,404.54689492577745,404.40990256849506,4
TCGA-A8-A07G-01,446.52928517479234,712.2228987508721,441.08172223138206,424.61715961300956,4
TCGA-AC-A23C-01,452.06066220118254,716.2281974091645,442.3298961513562,428.78538313561063,4
TCGA-AC-A23H-01,444.55405087040987,706.0737091229663,429.7184323122334,418.82715234815555,4
TCGA-D8-A1XF-01,436.8831747014657,702.6377497052999,422.796265559744,420.5156491275777,4
TCGA-AR-A0U4-01,436.72361540834873,707.6950630933839,447.2250352397444,421.11245894204995,4
TCGA-A8-A09C-01,447.0239154368019,711.369302097059,432.55565792871084,427.0128543893039,4
TCGA-AN-A0XP-01,435.219209207135,697.3983769078475,421.2608257784985,410.6477849249988,4
TCGA-D8-A1XK-01,439.2125224744179,710.5275674855089,451.3465710204057,424.0133399857767,4
TCGA-EW-A6S9-01,447.12607139036146,712.843549520807,439.12219329957213,426.29442576565265,4
TCGA-A8-A08T-01,444.03799921465156,709.0613839075697,431.5150439241486,424.35900745606193,4
TCGA-AR-A0TP-01,438.9637210287008,710.6013750627366,444.9170420301598,425.2856330565349,4
TCGA-E2-A15D-01,441.2500217918102,707.2503698560726,431.34300719594637,422.233310318898,4
TCGA-B6-A0IQ-01,437.3455964106382,708.3621151288221,440.7794682606993,423.17587126520044,4
TCGA-AN-A0XO-01,448.6171368140487,712.2793731745222,437.4385984485605,425.1311600312724,4
TCGA-BH-A0B8-01,438.577449065691,703.723782423416,427.38531831797735,418.54472110147253,4
TCGA-AO-A129-01,440.85307322330885,708.5985633455216,444.787837004413,420.391226324275,4
TCGA-GM-A2DF-01,431.6292589745401,699.3240494212216,435.3458252312132,411.3477081667173,4
TCGA-D8-A27M-01,447.7460741886147,715.3478916066147,457.81130272468386,426.4440345447054,4
TCGA-AN-A03X-01,412.17109019023144,678.3640513211085,404.4081612354056,393.5521353539231,4
TCGA-OL-A66O-01,426.1606734002611,689.1362785564032,406.9282435095119,407.80801640095154,3
TCGA-EW-A6SA-01,429.87206991115636,695.8399741431858,413.92322062248184,416.4159923460135,3
TCGA-BH-A5J0-01,429.41981918159064,693.836850715327,418.6483459448715,407.9296588334642,4
TCGA-BH-A0EB-01,437.76823759089774,702.4920776104672,430.4079291288598,415.00763692649247,4
TCGA-B6-A0IB-01,438.20925893294253,699.25561757311,416.80019416120473,416.3483951438385,4
TCGA-B6-A0WY-01,445.55971425717195,710.0732069050927,438.31599072054024,422.1217029849337,4
