tumor,nPCs,sc,mb,rnd
PT081,8,0.23126999867439768,0.04674662262493523,0.0048671973125664625
PT081,9,0.2434042886262361,0.047479511280246856,0.005243112628316671
PT081,10,0.25504365683730235,0.05218255115409509,0.005874335563856303
PT081,11,0.26658021525533293,0.05421426375848881,0.006309783745449882
PT081,12,0.2782547251834655,0.05598168340713827,0.006677019390677663
PT081,13,0.2890149725612373,0.05688129292871791,0.007297290007422186
PT081,14,0.29983160508476214,0.05857844901749587,0.007561207334555564
PT081,15,0.3101844298549833,0.05955148655653986,0.007950466454063387
PT081,16,0.3205922980495731,0.06062765849514329,0.008426141101687934
PT081,17,0.3309070147879384,0.06108858186950894,0.008673634867875757
PT081,18,0.34168881134029006,0.06224623446671351,0.009389317567506494
PT081,19,0.3517185820183678,0.0659244717778309,0.009896816779453976
PT081,20,0.3615691233105214,0.06692404056960344,0.010632352937160472
PT081,21,0.37103201391850515,0.0676170938108005,0.011273677879907518
PT084,1,0.12040463277477431,0.02488796033453089,0.0005765116364887524
PT084,2,0.1868597853422752,0.04377081505714353,0.0013531134168620618
PT084,3,0.235558953405839,0.04568986738407288,0.0020060991128857397
PT084,4,0.27113755615744173,0.05636410763818733,0.002704305118668482
PT084,5,0.2956325671739567,0.06369990952352911,0.004555167976993957
PT084,6,0.3206262074343126,0.06632496046058145,0.004881221840400962
PT084,7,0.34355572928459943,0.06918558314485024,0.005825585989959192
PT084,8,0.36590128026946056,0.07319778238468677,0.006356060427647581
PT084,9,0.38841281066198374,0.07568839264782912,0.006889751819032619
PT084,10,0.40986468675964105,0.08792669137714693,0.007504639197226659
PT084,11,0.43138781654924097,0.09373109045166106,0.008724616595980228
PT084,12,0.4516093162072474,0.10024441514203819,0.009412472882527556
PT084,13,0.4713105923682426,0.1034001041559709,0.01032824283618583
PT084,14,0.4904728464558088,0.10599272547929928,0.01101292746135396
PT084,15,0.5095131099572989,0.10702538009826446,0.011454983679110464
PT084,16,0.5283587826709852,0.10802348576821275,0.012067889159465661
PT084,17,0.5461957760292702,0.10950135379825698,0.012501227336444876
PT084,18,0.5639403163671778,0.1117605759729422,0.013002253763171656
PT084,19,0.5815547323967891,0.12012665710034409,0.014267852520939095
PT084,20,0.5993257368385356,0.12136666643563299,0.015339784414128754
PT084,21,0.6162138258010589,0.12220431472262738,0.015821972833186537
