,PC1,PC2,PC50
PT081_P5_B09_S117,-4.567369304128795,3.899687229434008,1.261647290722146
PT081_P5_B10_S118,-3.0937244619310906,-0.3501626652405757,1.92433726825714
PT081_P5_B12_S120,1.295684616246499,-2.6456413278787396,1.6914731472458848
PT081_P5_C01_S121,-3.7630171184428765,2.676432798199265,1.0721714388330599
PT081_P5_C03_S123,0.5878713065408495,-3.777929148238873,1.8786633392098224
PT081_P5_C04_S124,4.631071487289344,-10.797618567025575,3.3959065120836742
PT081_P5_C05_S125,-1.2770863960218457,-1.7153337386512593,1.5779942541266332
PT081_P5_C06_S126,-1.2195584063124487,-1.287576995796427,1.0596448877130933
PT081_P5_C07_S127,2.658269109962921,-9.451925657338206,1.4298342691693566
PT081_P5_C08_S128,-5.038486446377545,5.438155693849918,0.5235556021352603
PT081_P5_C09_S129,-5.83525855856506,5.61264673419857,0.612866585811408
PT081_P5_C10_S130,-4.341435512353983,-0.36635057290724865,1.787110776622718
PT081_P5_D01_S133,1.6640848789551026,-7.002794601601055,2.0519122530250065
PT081_P5_D02_S134,-1.1143672471612234,-2.990940188887797,0.026400520869942545
PT081_P5_D03_S135,-1.6467409766963432,-3.2096563079681957,2.4863872835120966
PT081_P5_D07_S139,1.1781130045011317,-7.756458890841973,1.6696147497641736
PT081_P5_D09_S141,-3.3020506826573883,2.9621747822244218,0.590929884591522
PT081_P5_D10_S142,-4.54287489606925,3.1432774795040026,1.0448019887017796
PT081_P5_E04_S148,-3.1771097837893763,1.5376948560540447,1.434663444313085
PT081_P5_E05_S149,-4.147529309130421,0.9825446069650567,0.2679406348628768
PT081_P5_E08_S152,-0.5989593093586156,-0.16328551043044748,2.8023611502095207
PT081_P5_E09_S153,0.4928568411982759,-2.469737063408718,3.3792713044124723
PT081_P5_F01_S157,-6.6279075312935305,5.576045642562387,-0.1920493663492073
PT081_P5_F03_S159,1.812763864039686,-6.769657982321582,2.4942132490522524
PT081_P5_F08_S164,1.5492909055556776,-6.875389234747161,1.0494110647548425
PT081_P5_F11_S167,-0.7872552977003315,-2.822901463054995,1.2901555720489732
PT081_P5_H01_S181,1.3554752382100559,-5.198113182244906,3.185893062228202
PT081_P5_H04_S184,-0.33742641954225855,-2.422014617054878,3.325736551354097
PT081_P5_H05_S185,1.2209076799753218,-6.145142039282075,3.7930411114169766
PT081_P5_H06_S186,-0.3754725562285755,-5.318922455400703,1.8893382980091369
PT084_P1_D11,0.374303441092299,-3.469378154217976,1.077857066705874
PT084_P1_D12,-0.8087291298071135,-2.892970119887636,-1.0348833631524552
PT084_P1_E01,-0.19357457322654847,-3.2719237093622695,2.9125559351378496
PT084_P1_E02,0.0401039016849679,-1.347543803433845,-0.06908301291179486
PT084_P1_E04,-0.9758597131458848,-7.43978147404122,0.08489470649445882
PT084_P8_A10_S202,1.3798797198694752,9.239088308072496,-1.403794338716484
PT084_P8_A11_S203,1.4147569558514506,4.897204256831442,-1.3362193611032458
PT084_P8_B02_S206,2.7335114148110424,6.385462661358806,0.13337415397822827
PT084_P8_B05_S209,2.454097036191447,3.054764976458387,-1.9182744262013047
PT084_P8_B06_S210,4.670582577617321,5.166993701872252,0.1788310221756307
PT084_P8_B11_S215,3.1974612883831677,2.0652215699620253,-1.7927322427395351
PT084_P8_C03_S219,0.8752563180613182,9.118018000124723,-0.08169468457268811
PT084_P8_C04_S220,3.6870020915629564,5.7704943062164595,-0.7647759986586907
PT084_P8_C05_S221,1.6691902989081036,5.177112447673121,-1.7553952548992633
PT084_P8_C06_S222,10.395961457772106,-11.758878024734164,1.6042874672921987
PT084_P8_C08_S224,3.6065640745867826,7.161195310396492,-0.8523159127919504
PT084_P8_C12_S228,-1.3274754506398236,10.04641428065888,-2.846213864379861
PT084_P8_D01_S229,4.911168904336106,4.962204973988297,-1.2675794240820337
PT084_P8_D05_S233,3.4297827424484533,6.365257353182882,0.8579322827780241
PT084_P8_D06_S234,4.876914229808569,2.8314096397431414,-0.08842073740235623
PT084_P8_D07_S235,1.1775077146715371,4.020108333868866,-3.8008672617959225
PT084_P8_E03_S243,4.320649061565495,3.571683791561637,0.8137551495186728
PT084_P8_E04_S244,5.271565512774033,6.932665159856461,0.24762966309822446
