,PC1,PC2,PC3
PT039_P1_B11,0.3979429406579854,-2.9419505019429755,4.7915877588669
PT039_P1_B12,-2.143875249861086,2.6673117516028833,-2.356250824584751
PT039_P1_C01,-1.0167690389285668,2.561319274130643,0.5440723147837652
PT039_P1_C02,-2.7033866868015815,2.3531378432870773,-5.0842544358386865
PT039_P1_C08,-3.25840541213816,1.8121631417957642,-4.457725666445395
PT039_P1_C09,-1.964867756696994,0.062364762839115115,-0.1856208774129557
PT039_P1_C10,-1.2478826365850617,0.2666525421219239,-3.9686279342626394
PT039_P1_C11,-0.913079791660398,1.0636090390774253,0.07540836022075575
PT039_P1_C12,-3.934724028829196,2.5778746450295498,-6.461881233897031
PT039_P1_D01,-0.949527766049765,1.1693228249787817,-1.3080753444483142
PT039_P1_D02,-3.208779854463669,1.3706120524858023,-2.3563392247437256
PT039_P1_D03,-2.4991922179026016,0.9691099448516521,-5.623849241149515
PT039_P1_D04,-2.391287531381728,2.030557490718146,-5.158076115920383
PT039_P1_D05,-2.5528475828815496,0.6352645680563689,-4.252033903164582
PT039_P1_D06,3.482945320906211,-7.752438661659183,11.579504900239755
PT039_P1_D10,-3.789546724354502,3.5727992495972707,-6.142352270314791
PT039_P1_D12,-3.1369620458855865,3.6328920025857636,-6.153549490282553
PT039_P1_E02,4.595437534055237,-8.82630485806353,16.053154563743874
PT039_P1_E03,-3.5719984105003677,1.6273345368524432,-5.459603305093692
PT039_P1_E07,-2.4160488826841933,0.6471313571520229,-3.91887053604636
PT039_P1_E08,-3.0999455722787275,1.4040235601039859,-4.8221409246307845
PT039_P1_E09,-2.8716191952950894,2.1336115024008957,-2.967275710679327
PT039_P1_E10,-2.756254628796622,2.6660724555491013,-4.085457552029323
PT039_P1_E11,-0.7121274165526793,-2.282929137704035,1.9750136681885126
PT039_P1_F01,-2.1105268369892753,1.1457167832562076,0.5263939058866325
PT039_P1_F02,-2.2578351963045935,3.033843195377042,-0.10572884857360199
PT039_P1_F03,-1.962648201484543,2.044987589725727,-1.8999443726902139
PT039_P1_F04,-1.618977971675847,0.9750335294830687,-1.2349511248579725
PT039_P1_F05,0.22743449195981152,-0.6958677315515119,4.275883545350216
PT039_P1_F06,-1.4068464108422944,0.8682831917742987,-2.1157310902643243
PT039_P1_F07,-2.1701972590072653,3.450985305020814,-1.7345701805250904
PT039_P1_F08,-2.3656675129473466,1.7446402974938964,-1.693310040020869
PT039_P1_F10,-3.426045830731851,2.226184823061158,-4.71869273455165
PT058_P1_D07,7.020804956965653,-12.203047300020106,15.152930181308779
PT058_P1_E01,1.9940697627911965,8.167382175575028,-4.003391994570013
