cell_line,arc1,arc2,arc3,arc4,arc5,arc6,arc7
ACH-000479,122.86197402726431,102.90952381717985,70.85046569641912,65.89685881410591,108.96725570592305,150.7288662953097,112.63883218216797
ACH-000863,93.68168665487879,74.26159458701402,78.23043979877119,84.23986979419314,104.05651200474365,112.54974392215014,98.95643428891074
ACH-000283,34.4915203418655,105.32993136622058,115.88705609879369,71.78802872895608,99.49064435832022,95.415470269099,115.77424303277722
ACH-000623,133.29908234555188,82.27699309946182,77.66220548983617,74.46798474316405,81.85800948333073,156.02722897992822,94.26361726877178
ACH-000609,69.76701205896237,86.21007014042407,118.11746060500721,54.91461444855309,60.96745103164852,105.19325816911507,104.54266770877521
ACH-000504,119.42741670263254,89.09592847320127,100.83689747758629,52.02699458901411,77.64908762444763,148.1022294475755,89.20038992878038
ACH-001605,127.90772828504369,45.303349135996214,109.09521121579377,73.16412047822473,98.14572938022992,138.45304359577545,113.8948431863752
ACH-000152,76.20605387409097,93.17663267306959,127.80254674831647,39.54410996412751,89.953223995337,108.36488394341205,111.35083854313021
ACH-000328,109.18695735286897,110.5449217075756,102.88444859594576,34.34481443938778,82.07627389039024,115.64967659244284,131.43427364590232
ACH-000595,73.7496877537811,109.29508543849256,89.72446728291635,88.91636422281738,76.17178752006555,125.82420297416017,85.88788034550761
ACH-000469,107.03386452962869,83.31762831802169,118.77883367566959,62.489099028129644,65.7513866538508,159.36511609622292,109.18978863012039
ACH-002409,114.9326782855597,48.0465942728156,122.15331561646879,118.9276088068504,104.81800319442999,142.12088742474273,146.72373266047398
ACH-001622,107.55928458784143,61.485685546765694,141.82195530395316,114.58924181891985,77.62407274516542,117.40213171786692,112.04648584394786
ACH-000455,102.28988064327407,89.77667132428915,106.95846008002917,87.02585035277691,76.13033328394867,82.88540881050916,104.96405961896113
ACH-000036,115.09199708146107,68.89152635262717,115.73456063255718,95.36138575939454,48.14502621664325,135.85153298766323,81.24056493373682
ACH-000673,69.90140567173307,90.49651518104835,126.0346559421943,83.39331392937359,60.367401653995245,136.6444340172333,117.98656121931012
ACH-000200,76.77746944379251,99.80056841199954,80.79358896992206,80.77552308121237,109.25144936594904,128.59838455228902,122.27542299567659
ACH-000323,82.55486094874514,86.49788555332675,139.02559026828618,80.33594876493137,56.33344267208942,123.97169357916518,106.27160011572334
