cell_line,S_arc1,S_arc2,w_MES,w_PN,score_Classical,score_Mesenchymal,score_Proneural
ACH-000558,0.3453560947454644,0.6546439052545355,0.6546439052545355,0.3453560947454644,0.6727563458477509,0.34565507672442275,0.16014349823815655
ACH-000631,0.45622783479284323,0.5437721652071568,0.5437721652071568,0.45622783479284323,0.18367715384535968,-0.031785539832150475,0.7367576717070005
ACH-000479,0.014149705378872383,0.9858502946211276,0.9858502946211276,0.014149705378872383,0.4739796138074595,0.5037167913562913,0.04809559705205572
ACH-000863,0.34712050145951595,0.652879498540484,0.652879498540484,0.34712050145951595,-0.4004782501626906,-0.29971070908883085,-0.21978877519083673
ACH-000283,0.6175797816142342,0.38242021838576573,0.38242021838576573,0.6175797816142342,-0.3434829330144292,-0.6256806254220191,-0.1887575711372432
ACH-000623,0.006894993164574898,0.9931050068354251,0.9931050068354251,0.006894993164574898,-0.06131562459727485,0.5026818264793684,0.09519814934490184
ACH-000609,0.5385231280400825,0.4614768719599175,0.4614768719599175,0.5385231280400825,0.005528233892841774,0.129587191684342,0.14036365438190665
ACH-000504,0.1108283252321062,0.8891716747678938,0.8891716747678938,0.1108283252321062,0.4858262299837347,0.762710385809265,0.8054673945280849
ACH-001605,0.23413231584623118,0.7658676841537688,0.7658676841537688,0.23413231584623118,0.11291071451922181,-0.0641896795572058,-0.8060254554524143
ACH-000152,0.5037606319761405,0.4962393680238595,0.4962393680238595,0.5037606319761405,-0.4130250374930099,-0.5414898159806681,0.260226917465988
ACH-000328,0.3187736776261775,0.6812263223738225,0.6812263223738225,0.3187736776261775,-0.06436904393820067,0.43913980166239025,-0.5020258160223966
ACH-000595,0.3833757917661787,0.6166242082338212,0.6166242082338212,0.3833757917661787,0.4452686113937255,-0.23668662406988283,1.1325612027503864
ACH-000469,0.22109078543499502,0.7789092145650051,0.7789092145650051,0.22109078543499502,0.7595250292464458,0.5677890097482055,0.08056144491847674
ACH-002409,0.518468881511084,0.4815311184889161,0.4815311184889161,0.518468881511084,0.1482162671352909,-0.6381918593370585,-0.16531522389771977
ACH-001622,0.6858709532318303,0.3141290467681697,0.3141290467681697,0.6858709532318303,-0.1355989886820373,-0.2509163991816184,0.05710822950231718
ACH-000455,0.5545646523294292,0.44543534767057075,0.44543534767057075,0.5545646523294292,-0.6908070556994618,-0.2561350640883793,-0.3625084489280925
ACH-000036,0.3782250295169011,0.6217749704830989,0.6217749704830989,0.3782250295169011,-0.23693169442878878,0.1273015324061934,-0.377835395685554
ACH-000673,0.5289383959539237,0.47106160404607633,0.47106160404607633,0.5289383959539237,-0.133897098598472,-0.1070770570894848,0.19226025520594925
ACH-000200,0.33310210067307094,0.6668978993269291,0.6668978993269291,0.33310210067307094,-0.07841620160173671,-0.31740017555509653,0.8235474825880044
ACH-000323,0.5933495488362309,0.40665045116376913,0.40665045116376913,0.5933495488362309,-0.6096234183948022,-1.1205201559836773,-0.0033033710171685438
