,arc1,arc2,arc3,arc4,arc5,arc6,arc7
CIAPIN1,5.9750737820690025,5.4390868274152355,6.213773677291187,5.923239694803861,5.977554625147297,5.605763975145673,5.388344446690545
SPPL2B,4.4677193071408885,3.789488126305921,5.418814807382692,5.40472317288805,5.208143595307607,4.125421988576021,5.4089479298605125
COPZ2,4.0168678706573395,5.697731819171544,4.1394342240830895,4.792330427757451,5.67207343423112,2.277600322268027,6.591748924055828
PRKAR2B,2.1471423021247835,2.7068202274969106,4.404270592581762,2.650808189210417,3.852254911815469,1.4328060645228011,2.9869609465309668
MSL3,4.3945190134545005,4.686646874566254,5.192319890759714,4.861236128793195,4.737932697092879,4.074222891337706,4.208791116351334
CREBBP,3.8522747723288293,3.2387958138438613,4.602338367633119,4.764224151276804,4.811585042934565,3.2264285217006345,4.151166090187072
MPO,0.2891036613554857,0.08821324427338406,0.2885387305422766,0.5767026055018968,0.21673528411970694,-0.010480538990190247,0.6089534292447687
WDR54,6.0170807940080335,5.201293960938701,5.520636698097389,5.6029257449160745,5.68020325516595,6.03102465639005,4.821786048618571
CROT,3.9820212137770037,4.0913464452874395,5.776396201491398,3.8190827516575743,5.512480041384371,2.544424407326554,4.493892318005358
ABCB4,0.8459504290365951,0.43154494574057267,1.2527951262687633,0.2551445488902422,0.37267066582902464,0.48068070146154124,0.4033072416807564
RHBDD2,5.0801028582097025,6.505714742636758,7.348681399599691,5.823777874165343,6.618266596898567,4.994887450113574,6.018747386122352
SOX8,0.05571520525739743,-0.12179520789119064,0.461009347354147,0.02927254542358526,0.18960802359853013,-0.1087506779439848,2.5050760703427573
IBTK,4.443888646276899,4.972951735899718,4.66450042203924,4.995236078823693,4.756774077948694,4.218815779714293,4.04346210233126
ZNF195,4.547215506113631,3.2801032641731482,4.081889093689298,3.9849001411895606,3.9867996684807427,4.240693526259358,3.509904581869632
MYCBP2,4.110270833805138,3.221545697375971,4.506211520649914,4.651026587604202,4.460940967645006,3.3876758374093545,4.005313769105049
FBXL3,4.442152813867405,4.883961199000888,5.324883464323559,5.00309444814246,4.622065269457102,4.0681769300968575,4.643548804791526
PDK2,4.198888037830223,4.179533663534684,4.912623960584418,4.887936067155504,5.135031648986608,4.312789184212152,4.6649202315808385
ITGA3,9.06441622150979,8.058126223154526,8.986066301807107,9.10542118259931,7.779725696485657,8.427065200480767,9.209184650770716
ZFX,3.4795024141503514,3.2211797508093776,4.312048998782031,4.071244128711804,3.6588789934130777,2.8661396319753902,2.9199764187747306
LAMP2,6.83885836920566,7.518473538567305,7.603273768251329,7.6364281947332024,7.385935088268832,6.424698634257418,7.075179677071488
ITGA2B,0.4404950950942832,0.16624397806520547,0.7063130456425306,0.7279747303968508,0.8065316523410557,0.44583029079543673,0.5404988247603671
ASB4,0.039122769211463224,0.06603991965234399,0.2639134719588438,0.04945216376423322,0.15495945797102179,-0.09289392351007117,-0.18951941426906088
GDE1,5.644314268793736,5.8853396945064125,6.084801105374081,6.092511060884051,6.0610503159159395,5.851192187752693,5.362606101828761
CRLF1,3.4573555947018235,2.070993438841468,2.7366436020385145,3.2351006288997217,3.750563939544823,2.377986199881188,3.809614254018388
OSBPL7,2.4968493674702676,1.755573318116238,3.2051844253193047,3.289669243186184,3.5556837323325814,2.1364025162901843,3.0571831182096174
TMEM98,3.56344275879354,3.16659221813291,1.7019000545579324,2.534197887764779,2.1168260984733074,1.2196072701932854,3.2368331371880577
YBX2,-0.05902451697175598,0.35303206734992837,0.8920888171014223,0.5822722716256136,0.9269027074811115,-0.04391340607522881,0.06994180439552006
MAP3K14,3.4374361038219976,2.946723595634281,4.1886966066210665,4.673248520774345,4.000343608496088,4.333674871973212,3.9326364293663234
