,arc1,arc2,arc3,arc4
DTX4,2.562418350485321,0.5848397549534816,4.506587185063715,1.8120601462633104
ERBB2,8.243827490918799,3.1831835018915173,7.300462561091157,4.559602672829735
RAB11FIP1,4.910934562838004,2.984691008401603,3.938752179403385,0.8917956542169425
ATP2C2,4.789724016988147,-0.4500087409764286,3.34640889951453,1.5835302546066985
MST1R,4.496833300951635,0.9575145671684764,5.556065932821978,3.039290061646077
AP1M2,7.036594457940572,1.5896768402926607,6.743893205004244,3.204193711443245
TGFA,1.7781350730915566,1.7031916286065802,4.809507481357478,1.2129976791981851
MYO6,5.500007826472116,3.200679570903234,4.946350929942904,2.77254576688951
PTK6,3.706237757801347,-0.08866137930145168,2.8510354328102694,2.787640251790751
OAS1,1.921793267416796,0.47528232241437807,4.987166914059606,2.211702711518484
FBP1,6.1919206613383615,-0.6284904058431806,2.5358097222402374,1.12504039216627
AQP3,2.4528241287021006,0.015246288206808511,6.0447054048389735,2.520976590763895
CBLC,3.1016976814112303,-0.1769354860906076,4.0456189158722164,2.102679330832442
EPHA1,4.340692660275251,0.5763894842119419,4.27416619417544,1.771035063230114
SH2D3A,4.120281912655511,1.0931271254328903,5.310491043508931,2.0593606879008473
EPS8L1,6.7720545365738,1.684209709799945,5.211096903355083,4.09846622965329
GRB7,6.163918768428177,-0.16430097731266802,6.423758502792826,3.1280298380288016
C4orf19,3.981777194667222,-0.2038131722398444,2.445859121550279,0.5830141185744251
KLK6,1.1760092146591823,0.37208183595984057,8.176477073566751,0.8766479688758588
TJP2,5.0436823266679776,4.169105393334246,5.82380825281675,2.972498986806384
PLS1,4.084051166280129,2.674091473245665,4.545232325027742,1.4878894065612682
DENND2D,5.764366143656972,-0.40304111508117124,3.133966467381961,2.3157933779580047
EPS8L2,7.227333744328484,3.461901524662357,6.846063889081997,1.9305000738237332
IL20RA,1.5032602640611787,-0.1525585677476886,2.1248427772891776,0.878761641998651
HES1,5.386001032240393,3.9408954005573067,5.180455709735213,4.950803621965272
IL1RN,1.2592904816224801,-0.2518643506456726,2.98112575445604,2.267373848128166
EXPH5,1.7044197252346291,0.28204483184098517,2.0730994059800745,0.8668495844970855
ARHGDIB,5.564144287491942,1.4090759003215072,7.484870286162963,3.1463087527519464
CAMK2N1,5.915905450729632,1.7289666400730592,5.992620897497235,5.057159622275624
HPGD,1.4163059679254721,0.3545739883357253,2.3489565750769414,1.6919030659676206
SYNGR2,8.273926230485943,5.8869579062467885,6.872294179043512,5.090536071029545
PERP,5.469314192990324,4.634428620161518,8.0188400466431,6.364024273556027
