,weight_arc1,weight_arc2,weight_arc3,weight_arc4,weight_arc5,weight_arc6,weight_arc7,generalist_score
ACH-001605,0.0,0.6402833503544146,0.07677372931235357,0.2822519547733998,0.0,0.0,0.0006909655598320169,0.4340391717337624
ACH-000152,0.22233863502245674,0.01055786985350113,0.0,0.6305049103949433,0.0,0.0332066778126704,0.10339190691642845,0.5246105405157745
ACH-000328,0.0,0.0,0.0715609163446371,0.7300413312121756,0.10304441336962827,0.09535333907355892,0.0,0.4505376669088509
ACH-000595,0.3724395650755377,0.0,0.224635724568182,0.0,0.1274753435196094,0.0,0.27544936683667093,0.6788715929254282
ACH-000469,0.0,0.1326227650906558,0.0,0.43674403571498566,0.3361349548010128,0.0,0.09449824439334578,0.6265136970944912
ACH-002409,0.10612493018983762,0.8256567543093993,0.068218315500763,0.0,0.0,0.0,0.0,0.2977517165742424
ACH-001622,0.0,0.5146577899431669,0.0,0.0,0.26113069109337533,0.1954008200003072,0.02881069896315037,0.5723364573319542
ACH-000455,0.0,0.09550743033883331,0.05179999039284709,0.0,0.32362843339914316,0.41397987427542887,0.11508427159374753,0.6971969218181597
ACH-000036,0.0,0.231779015234971,0.0,0.0,0.4974676229563377,0.0,0.27075336180869125,0.5344287821728985
ACH-000673,0.42796097712992304,0.08734186630056644,0.0,0.0,0.48469715656951035,0.0,0.0,0.47647939757561314
ACH-000200,0.4199185711570018,0.08651299565655657,0.4025415252272577,0.09102690795918392,0.0,0.0,0.0,0.5964040823209122
ACH-000323,0.28454737665616403,0.09222326776395792,0.0,0.04978724335694376,0.4886954406980185,0.0,0.0847466715249158,0.6608170335640353
