cell_line,verhaak_subtype,score_Classical,score_Mesenchymal,score_Proneural,pnmes_score,category
ACH-000244,Classical,1.0643241588168928,0.0780917425541409,0.0580485230401612,0.020043219513979707,Hybrid
ACH-000215,Mesenchymal,0.2235513470748296,0.3727718902165372,-0.0002024940185638,0.37297438423510104,Hybrid
ACH-001608,Proneural,-0.6999770509271342,-0.5182720926155965,-0.4618348558236416,-0.05643723679195489,Hybrid
ACH-000464,Classical,0.4147142249543064,-0.3489778640330647,-0.5363114543189297,0.187333590285865,Hybrid
ACH-000622,Mesenchymal,0.2940106567243206,0.5244529149374606,0.1435464473312705,0.38090646760619007,MES
ACH-000558,Classical,0.6727563458477509,0.3456550767244227,0.1601434982381565,0.1855115784862662,Hybrid
ACH-000631,Proneural,0.1836771538453596,-0.0317855398321504,0.7367576717070005,-0.7685432115391508,PN
ACH-000479,Mesenchymal,0.4739796138074595,0.5037167913562913,0.0480955970520557,0.45562119430423564,MES
ACH-000863,Proneural,-0.4004782501626906,-0.2997107090888308,-0.2197887751908367,-0.0799219338979941,PN
ACH-000283,Proneural,-0.3434829330144292,-0.6256806254220191,-0.1887575711372432,-0.43692305428477585,PN
ACH-000623,Mesenchymal,-0.0613156245972748,0.5026818264793684,0.0951981493449018,0.40748367713446665,MES
ACH-000609,Proneural,0.0055282338928417,0.129587191684342,0.1403636543819066,-0.010776462697564604,Hybrid
ACH-000504,Proneural,0.4858262299837347,0.762710385809265,0.8054673945280849,-0.04275700871881993,Hybrid
ACH-001605,Classical,0.1129107145192218,-0.0641896795572058,-0.8060254554524143,0.7418357758952085,MES
ACH-000152,Proneural,-0.4130250374930099,-0.5414898159806681,0.260226917465988,-0.8017167334466562,PN
ACH-000328,Mesenchymal,-0.0643690439382006,0.4391398016623902,-0.5020258160223966,0.9411656176847868,MES
ACH-000595,Proneural,0.4452686113937255,-0.2366866240698828,1.1325612027503864,-1.3692478268202692,PN
ACH-000469,Classical,0.7595250292464458,0.5677890097482055,0.0805614449184767,0.48722756482972873,MES
ACH-002409,Classical,0.1482162671352909,-0.6381918593370585,-0.1653152238977197,-0.4728766354393388,PN
ACH-001622,Proneural,-0.1355989886820373,-0.2509163991816184,0.0571082295023171,-0.3080246286839355,PN
ACH-000455,Mesenchymal,-0.6908070556994618,-0.2561350640883793,-0.3625084489280925,0.10637338483971315,Hybrid
ACH-000036,Mesenchymal,-0.2369316944287887,0.1273015324061934,-0.377835395685554,0.5051369280917475,MES
ACH-000673,Proneural,-0.133897098598472,-0.1070770570894848,0.1922602552059492,-0.299337312295434,PN
ACH-000200,Proneural,-0.0784162016017367,-0.3174001755550965,0.8235474825880044,-1.1409476581431008,PN
ACH-000323,Proneural,-0.6096234183948022,-1.1205201559836773,-0.0033033710171685,-1.1172167849665087,PN
