cell_line,arc1,arc2,arc3,arc4,arc5,arc6
ACH-001624,25.743008172858772,18.95824692006701,15.359579336125421,11.06313927591424,24.485451435170194,28.495220293513675
ACH-000244,21.430453510875296,22.22733322276444,27.60136919373101,30.323325782247636,20.325265935057377,8.50571519393125
ACH-000215,18.203014660896404,15.358396239452318,18.20135082003688,22.58120761179302,13.904847993997413,9.242499724553655
ACH-001608,24.449414541818967,14.391334971928268,6.730112967956931,18.745776882402136,18.777856783939644,19.894313267398896
ACH-000464,21.00515192696894,12.472227047793623,15.74904139431367,19.717394431111014,15.075954523550351,12.319080346456069
ACH-000622,26.952392362992775,25.570402305796875,22.76913568448264,2.7746113519349227,21.14916662018787,32.04830304347296
ACH-000558,15.07327374884878,10.327959661634058,16.44569361392702,20.963170096399196,15.472991960912973,17.587419778879017
ACH-000631,9.615204309344275,19.54329329303312,15.445231579502758,20.184496228418965,19.25344428429335,19.30913204065748
ACH-000479,22.275499056557614,17.70085215837278,23.274874722386805,20.99328555896578,1.050331793193599,21.797365092999712
ACH-000863,21.190193801974182,9.192101377275902,11.506892719197536,18.619978513358294,11.887686326928204,19.97613459932444
ACH-000283,24.309672935901116,2.2644195468014703e-15,15.886530503465318,23.679701816492734,17.114779384922137,21.342588576009128
ACH-000623,19.484140595019877,15.391275685803604,22.359973478376315,23.210569138183825,11.471101768985356,12.16618559121638
ACH-000609,21.923387221644482,10.350020374150224,15.732266406111806,25.000215320886916,13.903961680380565,12.522050800853036
ACH-000504,16.386688450851086,20.109450225036476,20.875653955688897,28.841619982873084,15.732547414834317,12.96122492552743
ACH-001605,19.746420099871454,15.104896991714321,19.389754383014566,24.188862256022226,9.70618932067412,11.868735477162812
ACH-000152,16.75078563940246,15.187391697355865,18.51039051510433,26.297648144080913,16.276264084484573,9.512776519313578
ACH-000328,19.456425785810087,10.510281918587568,13.496374462827513,19.80702166680987,10.249019268123027,16.237328023015273
ACH-000595,12.039298671336798,21.36754662873464,13.185962747424004,21.95995692786629,22.135110573823347,24.73512587511405
ACH-000469,22.458122245627518,20.951952594207928,22.803665312047535,29.44696489755506,20.655024439259837,2.4888204473185005
ACH-002409,27.980223466342757,22.413313129854487,19.657368064102783,22.286550278609162,22.434233560879363,13.8996601272345
ACH-001622,22.768198646737368,11.605901840285682,15.821164723701017,24.973680003760535,18.78250471996766,11.06326702977325
ACH-000455,19.469798255001994,19.457607877864298,8.444818210829865,17.401550717917587,20.934692378749922,21.041620619814193
ACH-000036,24.903352430230264,9.571827727466482,18.42794677618603,27.54442997898182,17.17963200546344,12.900138550004465
ACH-000673,21.96265593384181,12.020930375428577,19.927788297984925,20.898127247106093,16.894334494553124,15.30453553444784
ACH-000200,25.659744090660997,11.013991668842397,12.799355806314383,17.200777515746523,13.27359087320504,22.01225597627076
ACH-000323,21.043838155281513,16.702230117818097,23.08958053295059,30.212552975735264,20.962785748991926,9.168993811928772
