,arc1,arc2,arc3,arc4,arc5
VAV3,2.4317227152885033,1.2303678967392018,2.5444125671267757,0.41164319636683966,1.5366688235109836
ACSL3,6.237515096347092,6.528205707904828,6.6794071291691175,7.181996373196878,6.328376110378893
EYA2,0.4308139305701132,0.2378414536796422,0.48978063573098096,1.779288449673054,0.137253513263921
SLC4A4,1.2140008444333223,1.6863604259503258,0.1511813576292551,0.41703873093854804,1.3121245511090298
SLC20A2,4.933136686060779,4.77905919058981,3.542775841147663,4.8520047158929565,4.341322359504927
CTNND1,6.00419212136528,6.005739881369591,5.264167416551439,6.676406536901712,5.915158392592333
ZFHX4,2.2359693468154744,2.392691365656307,1.1037054154429187,2.2492606700087294,3.351022057759061
SPRY2,4.453666151424612,3.9681139317065277,4.468850150070541,3.7866785073966374,5.973765123007971
ZNF45,3.373670293754485,3.3061724344081407,3.1948033267266998,3.845540231068052,3.926493454364669
NCOA1,2.8720739134917257,3.0725002562885493,2.6972035593648642,3.4925950306951403,4.266904821735882
PLCE1,1.2838910269345951,2.5793030730648043,1.7920985681550012,2.9094513733618403,4.220896546922739
DTNA,3.6434447877148584,2.997582771157316,1.5973299391037616,0.3149809236204968,5.966193479519578
POLRMT,4.11437913021642,4.551846027488509,4.5792761971299125,4.582329286358103,4.939822124710073
SALL1,3.1729433067150272,2.159554253239569,1.9204958561658958,1.1913328623010424,4.185731173915805
TYK2,5.526866232584088,5.7042091217231485,5.64051087045718,6.100556009466101,6.286888556663893
TJP1,4.914861508774313,4.997950433589051,4.546576314576391,4.550106566880613,5.415577390850165
MEOX2,2.1973938580108183,-0.015142556143679209,-0.250809490544163,0.15334641622173162,0.135499319412145
FGFR3,0.5907195164051391,0.9965672793957888,0.7329448144688008,4.940259866088569,4.669022928644511
STXBP3,5.704146812298486,5.181186118201066,5.037540718218006,4.894306461870599,5.5997975838554686
GATM,0.5291026527736628,1.5740396871165694,1.7048729184734812,1.547271461027369,2.2582143162308386
UPF1,4.4984316497960535,4.997246600006736,4.539157634510987,5.277002154916542,5.401909271588717
NPEPL1,3.980835215277557,3.9613344785905347,2.676261252972748,3.502054079169647,4.423582879121346
RBCK1,6.428771817544992,6.5927962633671635,6.016638787086958,6.018906304824831,6.151400888499718
PHKB,5.094214818451897,5.493135705925528,4.836801209081937,5.286188574827648,5.572349060312208
SLC3A2,8.018309968363578,8.179176864168085,8.286224699725198,8.312947903321875,8.066632752398222
PPARGC1A,1.5231306148516701,1.6111899746956744,0.5632038632232312,0.108708260476436,5.32297720250124
PNPLA6,5.131468973859732,5.279099088115446,5.010383325310289,5.366367941372264,5.705610850390375
MYO5C,0.6515452117853355,1.4386957207524107,0.5521015267462673,0.8254468499067678,3.1320130148523946
