,arc1,arc2,arc3
PKP3,5.868155952913554,3.126156012403199,6.148031273371452
ITGB6,6.417487892320592,-1.1857272477336478,2.6970816082442033
LY75,2.4304673399550545,0.0787114167404015,0.5782711503606233
MAPK13,4.416634254076134,0.46524430971803676,4.336707912734109
TTC39A,2.8318636878144163,-0.05693546489765389,6.795573414289731
ELMO3,4.306406143034874,0.33060109046924513,3.5735463166363086
CEACAM1,3.351125085682702,-0.1207240408290049,1.63875460736109
DTX4,4.560318704919233,0.3111166529605187,2.561779868254532
ERBB2,7.307118135370109,3.149286827533935,8.188161523034605
RAB11FIP1,3.9167785556270425,2.521992644082088,4.754455534677403
ATP2C2,3.346348795916039,-0.27322685764339116,4.767656072640652
MST1R,5.601454040399439,0.8695478761547957,4.505925487422709
AP1M2,6.766662669204716,1.4542475430500428,6.978888736487797
TGFA,4.87054937728986,1.0573951614514554,1.7295438754319212
MYO6,4.942037866395984,2.9827359965699363,5.419425736154027
PTK6,2.861255494171178,0.30505309873903075,3.763753635737522
OAS1,5.06436877239892,0.16437780578614714,1.9549223902588746
FBP1,2.494801158402178,-0.27573074812134557,6.127589775694652
AQP3,6.140229630677879,-0.32106120687130746,2.496877681024358
CBLC,4.08846970189732,-0.17699760399786335,3.1290833263794005
EPHA1,4.293075976862247,0.4756936358292072,4.304098747424583
SH2D3A,5.351550018402888,0.7942407519313983,4.082751317326819
EPS8L1,5.209705072899654,1.9776801111749354,6.775129642399763
GRB7,6.469044044418367,-0.12535855470928148,6.168305514165384
C4orf19,2.4340891760597443,-0.1736764018481325,3.922105178734003
KLK6,8.327307464375298,-0.8319413253270973,1.1341218386786502
TJP2,5.838089682272939,3.6913290613093204,4.951261181292423
PLS1,4.555058643985348,2.202510933218127,3.9800161167650585
DENND2D,3.1160143681136305,0.03847263260561595,5.76201191902294
EPS8L2,6.846175580682183,2.835454201162849,7.047583599327145
IL20RA,2.1489525033077723,-0.20368099062999812,1.5097209178473563
HES1,5.186457691115494,4.051460587028051,5.402542179054205
IL1RN,3.0342057780368847,-0.16553239923890573,1.341472449858386
EXPH5,2.089023051390435,0.20305729503588354,1.695041152202535
ARHGDIB,7.54903800974523,1.035864676993464,5.532589964039643
CAMK2N1,6.025780344130004,2.0166136349968378,5.980719830373425
HPGD,2.3785490061606396,0.37181450535548666,1.4528634234581226
SYNGR2,6.849061796272803,5.731340905622666,8.177101797180908
PERP,8.082875385222838,4.4725807883266535,5.521923927042334
MANSC1,4.780501671077944,1.538331200100321,4.7139498675431275
DSC2,5.096523741813829,0.7990936255814871,2.79275654237774
POF1B,1.5971106461690203,0.024494257734423153,2.5259520194267586
SERINC5,3.6924827448733586,2.1189101318176053,3.4531061887970056
BIK,2.9922437688957917,0.3997119549467354,3.9119026541924242
ANXA9,2.295439615869193,-0.26605569574607335,5.2853772027554
MALL,6.565381872541648,0.9695495072275566,1.5078924085562142
