,arc1,arc2
RNASET2,3.3405415084616177,4.3379280655036085
CD44,9.059421676497351,9.416771078014662
KCNG1,1.800008803682865,2.568354805130636
AGPAT4,1.8159929218954327,3.6812681961929714
SLAMF7,1.217107844505222,0.14916298969560798
BTN3A1,2.8413328705522396,4.643474665643373
MIPEP,2.8737044993062875,3.3876842344628115
PRKCH,2.56968151995393,0.941984542686034
INSRR,-0.10177816173271062,0.32103435671510283
IFNGR1,5.0734819226494965,6.042932374146447
B4GALT7,4.362982385397473,5.254783039077971
SH2D2A,0.7054220596858969,0.07637999531109496
VRK2,2.8631242191845945,1.6269053692703994
TNFRSF1B,0.6870052000355124,1.0519512337225994
VEZT,5.4224846654015195,5.34652149850088
POU2F2,1.6329787391808805,0.5572861798369633
BRD9,4.861234140364598,4.645297734595018
SNX1,5.537100906476315,6.289152128517898
TBPL1,5.3784384130440595,5.106285403375662
BCLAF1,6.099512367870986,6.308976279699265
SLC39A9,5.04838302840901,4.801349668554088
ANK1,-0.22983700986820832,3.047602692481641
IBSP,-0.055391589917755474,0.298193479370416
TFB1M,4.031572652009949,3.369059396425199
RABEP1,4.142336707804341,4.986251265905245
HMGB3,7.308806757141468,6.876021244890338
NUP160,4.65211995254102,5.0630478274051045
BAK1,4.3342342400111376,4.6529679331075595
MUSK,0.3618895735861114,0.09423239988435259
IKZF2,0.21268261669674504,1.9642208837136967
GRN,7.5119515063828155,8.605437635298701
FAM13B,3.254347428465879,5.104113965993674
ARHGAP31,1.657423367575453,3.7932965550108886
CENPQ,4.345291357162504,4.110263471858419
RANBP3,5.18072171247663,6.0224348261839715
ARID4A,2.4481431385483083,3.0831726081853263
PNPLA6,4.848487359365166,5.537233682746487
IFT88,2.1452785642099164,3.5378777258913567
ALG1,4.267470544589869,4.866649575249467
ZCCHC8,4.435785791277054,4.415914446405853
ABCF2,4.661161183245793,5.572107554475832
CHPF2,4.015154403111518,6.453808858651541
LRRC7,-0.06465032508218849,0.9601860799719457
FUT8,6.221469595132213,4.943776308577885
UBA6,4.460031829619766,4.988578315690877
GAB2,0.5020227008056783,2.850630255486513
ATP6V0A1,3.78121224415701,5.5153467944206165
PIAS1,3.7638874703838607,4.368131798208981
SLC4A7,4.91914396088803,5.457533572046739
APBA2,1.4874302477946533,3.273180539385873
MAP2K3,5.123330573327778,4.575808184198615
