sample,source,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,dist_arc1,dist_arc2,dist_arc3,dist_arc4,dist_arc5,nearest_archetype,inside_simplex,w_arc1,w_arc2,w_arc3,w_arc4,w_arc5
t.S02243,Tumor,23.24184578343049,-29.26347570798821,17.432615982317866,22.571993301958912,13.6040233466713,12.133223816939221,9.917809629079324,-3.3005173326708745,113.08070210740829,20.03541935613785,104.98395421285413,139.5822846463246,76.65557670099062,2,False,-0.16939809076288606,0.9995583851437219,-0.10607080052273649,0.14558524301333464,0.1303252631285666
t.S02244,Tumor,16.14687485726414,11.361170227549563,-24.343630892918384,3.633920120571686,-6.711238412641358,0.8230263372635988,3.3846267534744157,-3.7584041708512395,85.67007900597339,48.31214372416526,59.664111608054675,133.65680203574857,94.34352185841185,2,False,0.4117082576802546,0.38202082641167284,0.3933334336276819,-0.2585871753704058,0.07152465765079682
t.S02246,Tumor,-69.89503762337311,19.026039761147114,23.619148928140753,-2.960378167740273,-28.875456989804576,10.384862658340559,-3.4219995846577307,23.37642437112814,65.43743736916248,112.19465891721396,102.49343378738968,36.761731870385056,104.59011010806478,4,False,-0.03701958848419122,0.04775176273693227,0.17640429736784247,0.7164402351686372,0.09642329321077957
t.S02248,Tumor,21.31525232244803,17.894453554952413,-6.181139084125659,-3.1269607997397486,-7.979042463620756,-6.739089231411803,9.244859329668378,2.4747264495879606,96.71972724713046,47.572236122149995,48.826488785697684,132.05572120294647,93.95849957108332,2,False,0.07649583560049139,0.3813809120832542,0.5085467412499242,-0.08014098548552917,0.11371749655185934
t.S02249,Tumor,-9.901217759228906,8.959317906797866,-6.060843532759346,-2.1045502329884633,-9.853474723712933,7.935307448112587,-5.835425948450447,-3.7012091335416364,67.88675153984259,56.68457599999175,62.75612144195212,103.06322952194172,79.75209767970019,2,True,0.21402028814391366,0.25660922637723604,0.31745171292181745,0.058367128114191105,0.1535516444428423
t.S02255,Tumor,-47.192189336202766,-3.1099844175332274,-24.033692538978794,-12.384736071442042,2.222178788136141,-14.038259329208776,-17.727057904541343,13.787615623565308,35.740034233352816,92.40794714999315,93.56995786516077,85.01323195810413,78.93957800478951,1,False,0.6388298354565539,-0.14330042497333967,0.1876080129561432,-0.019442688459599608,0.336305265020242
t.S02256,Tumor,-21.140327629340213,-21.584464659261748,-22.451994960872202,0.7123965202392398,29.818765816255606,-7.7692945581513815,-15.98003557696012,15.675564758274579,57.38230240928644,63.86447715918718,96.24239481442608,108.18776961064295,63.47304571353974,1,False,0.5717603866093783,0.23819481174691579,0.015261923938547299,-0.13572426716930436,0.31050714487446257
t.S02284,Tumor,18.669625412476858,11.345336880775486,30.804636852997668,0.6087915146612379,17.27847244375419,6.711799541166275,11.506863632175037,-2.180611074377709,111.62188164128877,47.8698257966044,67.4894486586572,124.20331744467029,90.05148893271732,2,False,-0.48008563953447964,0.6166382469346631,0.3868267914493422,0.35245281533400413,0.1241677858164702
t.S02285,Tumor,28.377859879996606,-10.455122458213951,-21.37156121029835,-10.413690379486589,22.467320570289075,4.638671831292005,-7.469514046108995,-30.897457465377265,101.36362698531462,45.50306848888733,77.11223197306747,147.47819573670265,77.23443527679517,2,False,0.3142810475998499,0.31182514104753367,0.3722187731328711,-0.3746256328549089,0.37630067107465404
t.S02286,Tumor,-48.322166043841015,8.075833212814546,4.671136909613185,27.556453019598504,28.20437129311432,-1.8758986378659697,3.343637664727524,4.911481431123867,50.37415994958282,82.5855457741727,97.43371633494596,67.9995641736671,100.56109585832498,1,False,0.2712462698862723,0.5410919551188469,-0.0808206352537853,0.45336412490748507,-0.18488171465881753
